sample_id,temperature_c,humidity,wind_speed_kmh,rainfall_mm,rainfall_last_12_months_mm,recent_storm_or_flood,aqi
143,35.16,66.49,13.41,0.0,1592.09,0,162.67
144,23.59,49.54,5.68,21.3,1061.26,0,92.17
145,28.07,31.28,9.56,4.97,1399.07,0,108.1
146,26.48,81.76,2.96,17.49,2048.83,0,120.78
147,33.34,60.62,11.39,0.86,1376.19,0,62.87
148,29.84,40.49,1.94,9.0,2359.45,0,75.72
149,28.57,48.63,9.76,0.01,1961.61,0,252.76
150,26.26,78.78,10.02,16.89,1547.95,0,156.87
151,29.5,72.28,9.77,0.0,1291.94,0,98.22
152,25.44,84.4,6.93,37.19,1258.11,0,143.51
153,34.33,59.91,15.41,11.61,1578.03,0,154.81
154,28.49,70.91,9.12,13.23,1127.99,0,188.94
155,24.73,49.84,6.99,20.49,1073.14,0,119.47
156,27.37,50.75,9.08,0.0,822.55,0,99.53
157,32.84,81.92,13.75,0.0,1032.47,0,97.82
158,32.53,67.38,9.68,5.53,1804.85,0,45.46
159,26.35,71.43,11.3,4.99,1570.94,0,66.62
160,29.83,79.55,11.32,15.46,1520.79,0,144.53
161,24.49,61.25,15.03,0.0,1675.29,0,209.64
162,34.0,73.83,7.42,8.42,960.77,0,91.59
163,21.12,81.94,9.73,20.53,1762.87,0,87.89
164,23.95,68.99,8.57,0.0,1621.78,0,70.33
165,27.61,58.52,13.42,0.0,1505.31,0,145.91
166,24.47,92.58,12.59,4.16,914.56,0,148.53
167,33.67,52.91,12.57,3.76,1664.48,0,57.72
168,24.54,73.49,9.5,1.78,1381.46,0,140.7
169,23.28,54.8,18.03,16.55,1416.8,0,152.67
170,24.81,57.57,11.26,10.66,1361.92,0,170.91
171,29.64,69.15,9.11,5.02,1472.83,0,116.68
172,33.87,63.73,5.73,1.1,2201.0,0,82.63
173,28.77,49.09,8.18,0.0,774.49,0,125.02
174,24.83,54.87,10.65,0.0,1469.21,0,147.44
175,35.13,73.36,5.37,4.15,1518.2,0,129.02
176,22.01,51.06,10.62,9.3,1977.9,0,132.13
177,28.86,50.74,13.46,0.0,1021.0,0,120.94
178,26.5,46.66,9.49,0.43,1684.95,0,150.84
179,28.11,54.04,13.9,0.0,2667.42,0,121.63
180,26.7,68.49,13.85,7.05,1115.29,0,93.79
181,28.51,97.87,6.32,0.96,1040.37,0,131.68
182,21.19,80.33,0.87,5.7,2110.9,0,137.57
183,28.56,69.86,11.82,16.53,1431.83,0,141.43
184,17.32,41.63,9.37,8.05,1098.83,0,124.87
185,27.81,40.92,6.56,5.67,2273.62,0,103.64
186,26.66,47.07,14.22,13.55,2203.31,0,138.73
187,35.5,74.06,13.65,8.44,1187.93,0,132.78
188,27.85,53.38,6.06,9.59,1487.23,0,87.78
189,29.92,55.57,16.33,0.0,1767.97,0,104.83
190,15.73,55.31,14.92,5.71,1923.2,0,59.49
191,18.68,62.78,6.63,9.85,805.84,0,158.54
192,23.34,53.64,8.26,6.17,2475.62,0,69.12
193,30.36,70.79,8.2,0.0,2384.5,0,74.34
194,28.23,51.88,3.92,0.0,1576.46,0,123.8
195,31.03,32.81,12.64,5.02,2059.63,0,107.03
196,21.71,91.19,8.92,1.28,1371.81,0,168.33
197,26.54,75.08,14.5,6.06,1249.49,0,166.2
198,30.55,54.86,18.49,0.0,2456.36,0,191.29
199,25.32,64.07,13.11,0.0,1393.04,0,144.59
200,22.79,48.23,7.64,0.0,1066.97,0,154.39
201,25.62,53.19,0.0,0.0,2020.0,0,92.46
202,20.1,51.79,8.1,30.05,1483.68,0,103.38
203,30.71,60.46,10.11,2.79,1229.58,0,120.43
204,35.23,75.58,10.96,6.06,1909.87,0,148.34
205,25.45,37.48,13.69,15.92,1567.83,0,113.06
206,24.38,61.1,13.23,0.0,1487.51,0,24.15
207,30.71,54.4,13.17,14.52,740.44,0,35.76
208,29.83,56.08,10.77,0.0,2136.06,0,150.25
209,30.1,40.92,13.41,0.0,1430.66,0,93.07
210,26.1,33.62,6.67,2.26,1136.58,0,90.85
211,26.64,67.29,10.52,1.57,853.64,0,62.45
212,28.62,80.95,9.38,6.35,1408.63,0,120.06
213,29.59,32.21,7.28,0.0,1393.1,0,85.03
214,33.74,50.9,9.4,0.0,1600.29,0,97.45
215,31.24,45.31,13.79,10.95,1806.28,0,197.29
216,21.69,61.38,10.36,19.22,1156.42,0,107.9
217,36.45,61.73,16.63,0.0,1463.21,0,209.44
218,22.81,67.68,13.53,0.0,1575.12,0,164.79
219,30.04,77.08,11.83,4.77,1220.51,0,86.01
220,26.96,59.66,5.79,3.45,911.44,0,154.01
221,38.28,57.79,8.23,7.8,1751.76,0,161.5
222,26.38,72.81,15.37,11.41,1491.4,0,95.98
223,24.74,58.61,15.23,16.27,1249.31,0,72.78
224,31.58,58.04,10.57,0.0,949.66,0,168.76
225,17.13,47.44,12.27,0.0,1108.4,0,82.16
226,30.24,47.24,9.56,5.82,1229.91,0,167.88
227,32.06,61.32,8.89,8.21,1985.42,0,112.46
228,21.1,46.05,13.69,0.0,2042.87,0,135.4
229,29.82,48.01,0.2,0.0,2297.18,0,158.54
230,32.74,40.33,17.93,0.0,1542.52,0,106.9
231,26.58,64.77,2.58,1.46,2166.99,0,137.24
232,32.77,60.84,10.96,0.0,2122.86,0,114.44
233,23.23,71.62,12.45,0.0,1867.9,0,155.94
234,23.85,51.79,8.5,6.89,1766.75,0,141.7
235,24.87,62.56,13.63,11.98,1478.2,0,87.28
236,20.97,44.89,10.19,11.14,1675.68,0,160.07
237,27.81,37.47,8.8,0.0,2038.68,0,124.59
238,21.8,30.51,10.45,0.0,1662.0,0,115.64
239,30.71,60.59,17.31,0.66,1195.31,0,180.21
240,33.23,90.45,7.41,0.4,1937.72,0,111.06
241,26.87,65.81,8.09,11.18,1165.96,0,125.96
242,33.42,59.33,11.78,0.0,2103.56,0,165.1
243,28.65,63.7,20.73,2.55,1975.26,0,95.89
244,28.9,68.64,15.86,4.21,1613.73,0,125.9
245,22.33,62.07,13.39,0.0,1477.18,0,135.88
246,21.89,76.58,5.86,2.39,2087.77,0,120.41
247,24.23,64.65,11.48,7.56,1726.51,0,69.07
248,37.57,26.33,11.97,0.0,938.65,0,116.34
249,26.67,53.12,16.52,0.0,1742.45,0,69.11
250,28.01,50.82,13.37,1.28,400.0,0,170.91
251,27.07,65.91,9.98,4.94,1247.28,0,136.71
252,24.66,71.07,8.43,3.66,892.23,0,138.87
253,30.6,62.38,7.38,11.99,2216.13,0,138.15
254,33.72,55.52,13.52,17.51,785.32,0,90.06
255,23.02,62.82,10.25,0.16,1501.46,0,103.97
256,28.12,66.87,17.81,1.35,1286.66,0,79.85
257,26.86,25.14,6.81,19.56,1535.88,0,89.9
258,28.66,68.04,12.6,16.97,1174.48,0,137.26
259,31.69,58.89,10.55,0.0,2001.42,0,114.02
260,34.72,76.42,3.25,0.0,1643.3,0,73.48
261,23.65,41.08,12.49,0.0,2588.68,0,127.01
262,21.02,67.06,17.52,0.0,2035.51,0,145.86
263,34.69,53.08,15.39,0.0,1518.28,0,131.69
264,31.21,48.84,8.84,12.63,1824.27,0,127.36
265,26.67,63.24,0.57,16.05,1481.24,0,87.95
266,30.88,41.8,14.59,0.0,1443.42,0,76.38
267,27.29,61.18,5.2,14.08,573.95,0,73.65
268,20.42,56.41,5.77,20.17,1751.0,0,66.66
269,26.99,38.45,12.06,0.0,1899.06,0,121.81
270,27.92,67.59,8.92,0.0,656.45,0,166.15
271,25.39,80.74,9.6,0.0,1029.56,0,121.39
272,27.15,52.76,7.4,8.04,1076.24,0,82.7
273,22.07,53.16,14.32,8.56,1560.6,0,78.89
274,31.28,43.68,14.28,3.37,1481.14,0,144.93
275,37.55,64.53,8.99,0.0,2047.19,0,127.03
276,31.24,63.27,6.07,7.87,1345.47,0,162.57
277,30.82,54.22,7.39,14.75,1890.64,0,107.26
278,33.87,69.8,15.27,4.98,1294.97,0,171.04
279,27.84,45.1,7.99,0.0,1881.16,0,127.82
280,31.2,62.23,11.72,0.27,2071.34,0,124.18
281,26.43,61.51,4.99,13.82,1004.48,0,102.04
282,30.55,61.02,5.87,0.0,1231.14,0,99.61
283,26.68,64.58,13.44,0.0,851.19,0,31.43
284,34.68,46.86,8.2,0.0,2003.08,0,163.62
285,24.66,73.79,7.68,0.0,1853.7,0,109.49
286,35.15,57.54,8.35,3.51,1951.43,0,147.56
287,32.76,71.23,14.19,0.0,1825.27,0,111.48
288,17.96,71.95,6.35,5.11,1368.87,0,121.48
289,18.65,54.28,13.97,8.93,1034.66,0,115.26
290,25.89,47.79,6.49,0.46,1392.65,0,38.02
291,31.05,74.68,12.3,8.65,1578.27,0,153.81
292,29.47,68.9,7.02,4.1,1720.98,0,219.33
293,36.99,43.54,9.47,15.31,1224.93,0,84.44
294,19.92,77.23,11.04,2.23,1892.69,0,163.66
295,24.91,69.68,5.7,0.0,1463.41,0,75.25
296,31.05,82.93,12.17,0.0,1604.15,0,185.39
297,28.66,58.82,16.71,10.74,1436.67,0,118.82
298,33.4,73.24,10.62,4.3,1765.44,0,95.53
299,20.58,76.53,15.98,15.17,1774.63,0,131.33
300,41.58,74.5,16.05,10.21,846.2,0,20.0
301,19.81,72.03,7.9,13.35,1320.78,0,81.19
302,26.9,48.01,5.55,14.66,1824.51,0,156.52
303,31.2,52.76,9.88,0.0,1149.37,0,127.06
304,22.54,36.13,7.79,12.73,1955.47,0,114.38
305,33.63,51.98,6.31,11.07,1401.47,0,178.32
306,28.85,77.28,8.45,0.0,1447.27,0,93.78
307,33.56,40.25,7.62,4.66,2255.88,0,124.35
308,27.48,70.79,11.32,2.44,1136.23,0,66.17
309,20.56,82.82,7.52,3.27,1081.03,0,106.26
310,24.86,44.98,8.43,12.87,1483.73,0,178.92
311,27.66,30.68,5.81,0.0,2039.4,0,125.75
312,20.41,41.73,14.57,6.0,1819.53,0,139.14
313,29.01,59.81,8.22,0.0,1443.54,0,109.63
314,31.46,83.03,9.98,0.0,1564.08,0,177.28
315,27.86,73.38,9.98,0.0,1406.68,0,158.03
316,23.42,58.99,10.76,11.91,834.91,0,119.8
317,30.85,48.24,8.07,2.89,1265.97,0,107.59
318,20.39,65.43,13.19,14.14,1609.62,0,84.16
319,23.39,63.09,16.96,0.06,1100.95,0,105.68
320,28.91,91.61,8.18,13.46,1662.03,0,51.88
321,24.89,63.49,7.7,0.0,1482.03,0,90.54
322,29.72,56.42,3.86,4.01,1140.81,0,92.99
323,23.14,46.7,14.22,7.26,1201.45,0,143.5
324,31.65,47.78,13.84,11.29,1271.42,0,110.31
325,34.37,69.38,12.54,0.0,2174.68,0,178.81
326,25.38,59.98,5.82,8.67,1276.03,0,140.88
327,36.29,85.94,6.84,0.0,1541.36,0,128.97
328,31.47,42.94,9.24,6.51,1034.36,0,111.17
329,25.98,51.73,11.28,0.0,1589.45,0,130.77
330,19.39,38.0,4.72,2.82,1549.68,0,137.84
331,25.81,85.45,12.44,0.0,1679.76,0,83.06
332,24.1,58.95,9.18,27.53,715.89,0,132.75
333,27.86,44.17,1.86,0.0,929.45,0,39.08
334,32.41,46.16,4.31,8.51,1561.8,0,184.02
335,33.83,37.42,10.13,7.73,1604.58,0,88.24
336,33.49,45.9,5.88,2.45,1694.6,0,173.34
337,30.37,82.92,7.06,10.62,1729.11,0,160.39
338,32.68,70.3,8.85,0.0,1094.34,0,116.06
339,33.84,50.56,11.26,5.27,1425.84,0,164.58
340,34.53,51.55,13.48,0.0,1624.82,0,156.68
341,34.73,37.7,18.33,10.08,2215.17,0,120.63
342,20.33,76.67,10.35,0.0,2324.68,0,155.47
343,27.1,60.16,6.1,12.26,1335.65,0,150.64
344,30.47,96.94,16.07,4.39,1265.8,0,133.64
345,27.0,46.13,12.54,9.78,982.39,0,71.82
346,31.64,74.36,14.68,0.0,2202.7,0,129.54
347,29.81,87.15,3.88,0.0,1359.27,0,203.02
348,28.42,77.22,9.69,0.0,952.2,0,107.47
349,21.53,73.16,7.34,0.0,1886.43,0,90.35
350,27.91,76.76,7.33,6.93,1187.67,0,159.25
351,34.18,65.46,10.75,9.81,914.45,0,109.9
352,31.07,67.24,12.54,15.9,1495.17,0,50.43
353,35.42,40.81,8.93,6.98,1676.52,0,111.95
354,31.16,46.48,16.28,2.52,882.8,0,162.75
355,37.11,26.6,6.04,0.0,1900.63,0,30.95
356,24.6,89.8,4.41,0.0,1502.36,0,119.21
357,29.78,49.67,10.74,0.0,1424.28,0,86.92
358,32.09,66.8,7.66,0.0,2165.46,0,170.24
359,23.12,94.53,5.05,2.96,1464.52,0,131.43
360,24.29,41.74,6.39,0.0,1641.32,0,135.61
361,32.46,57.96,15.04,0.0,1331.97,0,83.23
362,36.36,64.96,12.14,5.26,985.65,0,144.4
363,26.3,61.2,5.56,3.83,1914.5,0,130.98
364,39.23,63.5,2.19,0.0,1405.75,0,147.99
365,26.88,69.04,6.04,0.0,2281.32,0,107.49
366,28.54,92.21,10.57,0.27,1488.98,0,84.7
367,30.95,42.4,10.75,0.0,1798.03,0,127.52
368,28.57,60.07,6.3,12.46,957.68,0,118.74
369,21.56,83.74,10.28,5.11,1684.1,0,98.17
370,28.73,58.82,13.33,2.92,789.53,0,20.0
371,36.59,67.46,12.11,0.0,1046.53,0,124.26
372,32.1,70.76,7.69,0.0,400.0,0,118.63
373,32.54,40.1,4.99,7.68,1892.58,0,89.39
374,16.35,32.65,9.96,7.12,1650.43,0,121.57
375,28.43,63.59,4.73,3.8,1421.11,0,113.81
376,28.5,74.3,10.16,0.8,1182.69,0,147.4
377,25.81,85.45,7.7,2.87,1441.9,0,192.23
378,24.7,55.68,10.85,17.5,1381.25,0,139.75
379,24.51,76.86,13.64,0.0,1258.13,0,114.51
380,25.13,36.36,11.13,8.15,1706.0,0,95.98
381,38.85,73.02,7.55,12.76,1384.67,0,159.27
382,28.37,63.41,14.86,8.27,1392.83,0,100.25
383,23.67,49.09,6.84,6.0,1172.23,0,163.07
384,27.48,34.28,13.42,8.89,1091.65,0,107.46
385,24.97,46.11,7.36,0.0,1533.64,0,123.46
386,27.91,77.16,16.43,4.0,1142.21,0,50.31
387,18.9,39.9,7.83,13.75,1402.56,0,160.92
388,33.16,71.67,4.98,1.96,1072.45,0,113.39
389,30.24,41.24,16.01,8.96,839.37,0,97.36
390,17.09,41.63,5.47,11.17,2448.43,0,117.77
391,25.76,74.01,13.1,13.39,1379.57,0,80.46
392,32.43,39.16,12.66,4.04,1722.71,0,44.62
393,33.32,72.95,11.85,16.31,1030.26,0,163.25
394,29.77,73.81,20.58,0.0,2259.24,0,185.1
395,27.91,29.81,14.66,0.0,1790.27,0,85.73
396,20.12,56.58,3.88,3.29,1515.39,0,58.87
397,30.9,74.95,2.6,0.0,1734.98,0,116.97
398,34.91,58.05,7.89,7.88,1303.06,0,103.68
399,18.94,62.64,15.92,0.0,1714.74,0,149.88
400,31.22,51.09,11.48,0.0,1854.53,0,33.04
401,28.8,29.77,7.99,15.31,1357.99,0,64.3
402,21.02,48.83,17.95,10.56,1072.71,0,140.09
403,27.61,70.72,16.71,21.1,1085.4,0,137.42
404,26.47,71.67,6.21,11.66,2877.18,0,48.15
405,26.42,61.01,13.63,15.83,710.65,0,75.78
406,23.34,57.99,10.87,6.02,1244.35,0,96.03
407,26.96,85.98,13.08,6.7,1419.11,0,136.65
408,27.16,67.13,13.4,6.73,1431.31,0,160.34
409,30.74,69.24,6.1,8.11,1480.92,0,156.25
410,24.32,53.51,13.67,5.8,2060.0,0,143.14
411,30.85,41.1,13.46,0.0,1467.13,0,223.44
412,33.58,51.38,11.16,0.0,1790.16,0,70.56
413,34.37,41.44,13.04,8.14,944.03,0,106.93
414,35.93,75.63,1.5,4.54,2147.96,0,147.24
415,27.61,47.12,12.29,9.48,1474.52,0,127.23
416,20.16,55.48,15.31,0.0,992.13,0,108.61
417,31.22,45.14,14.4,0.0,1201.05,0,66.46
418,34.09,70.66,8.81,0.0,1637.75,0,128.78
419,34.19,68.52,10.04,0.0,1182.11,0,94.07
420,20.21,50.56,11.0,13.89,1570.36,0,197.74
421,27.67,51.87,6.81,18.31,741.13,0,98.77
422,27.34,78.59,5.45,3.42,1678.67,0,116.81
423,21.81,58.63,8.61,0.15,1683.94,0,138.05
424,22.59,75.86,7.33,0.0,1470.44,0,59.47
425,24.04,67.03,7.32,25.27,1567.82,0,144.09
426,32.88,48.06,6.63,15.43,2024.82,0,149.99
427,24.47,32.38,11.44,0.0,1723.4,0,106.49
428,30.42,73.59,10.65,4.99,1299.99,0,130.65
429,41.93,50.52,11.7,0.0,1869.44,0,86.15
430,17.71,75.37,13.27,0.0,1667.25,0,163.14
431,34.79,53.61,10.21,0.0,1214.17,0,131.74
432,19.42,74.18,9.41,5.97,1587.2,0,93.3
433,31.32,88.09,7.45,0.0,875.01,0,160.38
434,27.1,32.76,16.08,0.0,1470.13,0,158.69
435,27.47,67.67,12.88,8.58,1737.88,0,78.44
436,25.61,70.81,12.31,20.61,995.64,0,117.64
437,28.12,70.72,3.23,5.05,1102.61,0,108.33
438,20.31,43.3,10.84,1.55,2103.11,0,87.05
439,34.22,75.19,17.73,5.69,1504.67,0,146.44
440,20.07,60.54,7.67,4.39,1582.32,0,141.81
441,18.67,74.55,9.84,8.18,1811.19,0,132.45
442,33.7,78.25,9.61,0.0,1585.74,0,134.23
443,24.56,61.83,10.32,9.84,776.17,0,80.11
444,32.05,72.48,13.48,0.0,1311.89,0,124.19
445,31.15,90.61,11.38,5.57,2091.29,0,118.08
446,21.48,40.26,10.83,14.24,1596.07,0,197.56
447,28.66,42.35,12.23,2.08,588.99,0,92.8
448,17.49,60.43,0.0,0.0,803.03,0,78.3
449,33.16,55.73,8.36,0.0,1736.4,0,89.37
450,27.7,56.16,8.08,4.18,1485.47,0,217.33
451,31.05,64.35,10.01,7.01,1482.43,0,148.32
452,31.49,53.63,11.8,3.79,1808.94,0,101.24
453,27.39,71.45,4.6,0.22,722.95,0,188.96
454,29.91,60.8,7.92,3.14,2188.34,0,89.81
455,22.52,48.08,9.92,0.0,2187.17,0,123.17
456,31.29,48.24,11.28,3.39,1351.95,0,107.89
457,34.37,59.35,15.34,17.83,1353.77,0,122.43
458,34.34,79.99,7.35,0.0,1557.29,0,120.64
459,29.84,66.37,8.64,17.12,797.37,0,115.74
460,27.21,54.81,13.77,4.48,1061.39,0,86.36
461,26.44,69.71,14.96,0.0,992.17,0,23.73
462,23.71,65.13,10.87,7.78,1501.39,0,154.86
463,28.85,29.63,11.5,0.0,1690.07,0,160.59
464,34.46,62.81,4.06,11.0,1595.21,0,119.87
465,22.21,93.14,14.71,0.62,1613.37,0,123.31
466,30.03,74.62,7.51,6.74,1254.65,0,127.42
467,26.28,62.19,9.35,0.74,1468.71,0,112.96
468,21.45,85.61,11.21,0.0,1671.43,0,102.34
469,23.31,63.63,13.18,37.5,1988.16,0,113.67
470,25.46,36.47,4.16,0.0,2045.61,0,128.78
471,20.8,39.11,8.31,0.0,1944.51,0,78.9
472,18.35,70.18,0.9,3.76,985.87,0,134.08
473,26.78,60.84,17.62,2.78,400.0,0,110.46
474,32.39,80.99,15.6,14.67,704.43,0,58.16
475,20.23,41.92,11.78,10.78,1789.96,0,105.63
476,30.81,64.89,10.34,0.75,1625.56,0,138.6
477,23.51,80.02,6.48,12.56,1473.66,0,127.92
478,32.94,64.01,10.57,13.47,488.92,0,174.7
479,35.15,83.59,10.69,1.38,1367.07,0,121.05
