sample_id,crop_yield_last_year,current_stock_level,supply_chain_efficiency,import_dependency
132,53,83,58,39
133,59,77,77,37
134,103,67,98,28
135,88,25,95,19
136,59,45,62,25
137,98,79,63,14
138,102,45,100,31
139,94,48,90,39
140,82,34,90,17
141,65,60,61,32
142,88,40,89,29
143,81,50,52,28
144,51,37,97,17
145,51,54,62,33
146,68,41,68,29
147,79,85,62,33
148,103,39,73,28
149,103,36,75,22
150,61,77,64,24
151,78,53,97,25
152,94,63,66,27
153,74,87,61,16
154,104,94,50,11
155,66,91,85,9
156,99,70,85,38
157,75,93,72,27
158,87,36,77,7
159,53,67,96,33
160,67,85,82,30
161,86,56,61,10
162,67,25,81,32
163,66,38,72,38
164,83,75,65,9
165,103,84,64,5
166,50,77,50,14
167,58,53,79,8
168,51,25,64,31
169,57,56,56,6
170,91,84,61,35
171,100,59,57,36
172,82,30,91,24
173,94,20,60,24
174,86,61,77,6
175,99,50,87,30
176,78,81,84,18
177,61,67,64,34
178,75,71,77,37
179,57,83,89,32
180,61,79,53,16
181,60,97,51,30
182,61,47,93,40
183,71,33,59,20
184,58,43,53,18
185,67,52,71,14
186,90,22,89,30
187,70,100,62,27
188,69,91,61,12
189,65,96,67,37
190,79,50,72,35
191,58,60,53,12
192,88,35,87,34
193,68,48,81,10
194,89,47,65,29
195,65,45,57,22
196,67,59,62,37
197,98,45,94,30
198,74,75,70,31
199,101,80,64,34
200,63,49,59,14
201,77,54,75,25
202,55,99,71,16
203,58,64,78,24
204,108,76,75,30
205,65,39,92,26
206,97,72,89,30
207,102,65,63,18
208,75,42,64,35
209,68,84,78,10
210,96,99,79,22
211,96,80,69,23
212,90,48,82,6
213,54,42,63,35
214,73,72,52,12
215,96,24,67,38
216,82,97,63,19
217,51,47,67,11
218,95,46,79,35
219,82,63,74,23
220,58,43,64,40
221,65,91,97,39
222,74,62,89,37
223,76,88,84,31
224,53,54,50,7
225,83,42,81,11
226,81,51,74,5
227,54,94,54,40
228,65,91,80,14
229,51,80,90,18
230,102,32,98,19
231,95,89,50,23
232,57,34,86,38
233,97,84,55,8
234,79,61,68,5
235,90,59,99,5
236,79,72,80,38
237,70,99,58,15
238,55,47,70,20
239,60,25,73,34
240,64,65,73,28
241,88,35,63,12
242,101,36,96,23
243,76,94,50,36
244,75,46,80,18
245,105,46,51,32
246,76,85,97,31
247,84,26,75,38
248,79,32,100,35
249,104,64,83,16
250,88,98,85,26
251,67,44,96,17
252,63,80,73,28
253,91,58,92,31
254,98,57,79,34
255,80,47,59,10
256,102,49,93,15
257,51,100,58,15
258,86,76,58,19
259,78,55,88,5
260,68,93,95,15
261,83,77,74,27
262,109,33,56,29
263,76,30,57,14
264,90,61,68,17
265,85,23,53,6
266,70,27,56,37
267,62,32,66,18
268,103,82,95,8
269,90,21,96,19
270,91,81,69,8
271,58,23,81,8
272,71,80,62,26
273,88,69,80,22
274,60,27,51,19
275,65,49,91,24
276,92,87,98,26
277,108,93,88,36
278,66,32,60,36
279,78,97,68,23
280,60,89,78,17
281,50,23,59,39
282,98,51,100,39
283,105,77,86,7
284,87,46,50,19
285,63,66,57,7
286,79,52,69,17
287,53,51,91,39
288,60,21,78,20
289,74,35,52,9
290,109,58,95,32
291,109,55,72,22
292,106,93,51,12
293,90,78,96,33
294,76,34,71,30
295,56,70,78,33
296,107,94,61,23
297,104,76,59,29
298,98,26,68,7
299,93,66,93,10
300,56,46,63,34
301,80,60,60,12
302,66,37,54,30
303,80,39,88,25
304,51,81,77,13
305,66,82,71,11
306,81,46,87,29
307,68,88,76,16
308,99,24,84,32
309,94,100,87,24
310,109,99,99,37
311,77,63,96,7
312,64,47,100,18
313,57,72,93,38
314,87,72,91,24
315,86,61,97,17
316,107,53,55,32
317,60,90,61,37
318,52,59,78,22
319,68,27,70,23
320,59,63,87,40
321,96,98,83,7
322,87,97,86,15
323,106,60,51,5
324,98,65,85,23
325,89,45,64,24
326,69,29,59,28
327,57,68,88,15
328,89,66,92,27
329,60,96,76,11
330,103,62,67,17
331,103,99,61,17
332,85,52,75,29
333,91,47,85,12
334,69,34,90,24
335,98,57,68,21
336,70,45,59,16
337,53,42,62,28
338,78,58,67,15
339,94,76,70,11
340,61,79,72,29
341,78,86,72,28
342,60,88,63,19
343,66,81,64,7
344,80,86,64,21
345,105,80,56,24
346,58,56,93,14
347,59,90,100,32
348,95,84,84,40
349,58,26,66,30
350,53,60,59,37
351,102,96,59,14
352,95,47,73,34
353,67,25,74,27
354,54,32,95,37
355,71,30,50,7
356,82,54,63,17
357,68,71,82,6
358,60,37,83,12
359,104,31,85,36
360,88,61,74,17
361,63,23,78,22
362,99,34,61,33
363,77,84,88,18
364,52,65,62,27
365,105,88,100,35
366,83,97,63,33
367,71,52,83,11
368,84,56,59,34
369,54,87,50,33
370,56,98,76,9
371,80,23,65,33
372,55,94,86,8
373,77,78,54,36
374,71,99,89,29
375,88,35,56,31
376,104,85,82,26
377,110,94,91,5
378,67,65,64,10
379,82,97,54,29
380,100,37,61,15
381,56,35,68,17
382,87,65,51,36
383,60,99,57,7
384,67,76,99,40
385,89,65,55,38
386,74,97,99,17
387,61,87,99,37
388,84,26,90,18
389,74,87,85,23
390,79,98,96,37
391,71,31,93,36
392,103,69,74,12
393,89,91,72,22
394,91,24,93,26
395,70,60,68,12
396,68,36,59,16
397,101,53,83,36
398,69,48,53,13
399,67,53,98,29
400,77,45,57,27
401,79,22,70,38
402,80,78,52,32
403,102,58,89,5
404,96,52,96,15
405,87,95,77,13
406,72,21,74,6
407,88,29,95,22
408,94,88,80,10
409,70,74,94,19
410,80,91,64,12
411,101,66,94,18
412,77,46,89,17
413,95,58,86,40
414,66,80,91,13
415,77,51,66,6
416,59,90,85,7
417,104,47,95,34
418,101,29,88,15
419,91,35,65,28
420,81,34,62,31
421,59,66,53,14
422,69,51,58,28
423,107,100,73,13
424,69,58,82,8
425,50,22,63,21
426,108,37,99,19
427,51,28,82,33
428,105,80,72,24
429,89,81,90,39
430,106,79,66,18
431,73,41,74,17
432,61,30,94,5
433,80,57,74,21
434,52,85,61,37
435,67,100,74,26
436,69,96,64,22
437,90,29,56,23
438,51,90,92,7
439,79,27,61,37
440,84,42,63,21
441,71,64,57,28
442,70,44,84,14
443,92,22,69,20
444,109,49,56,22
445,88,97,78,28
446,101,46,61,15
447,58,24,96,23
448,85,48,97,18
449,93,38,84,29
450,77,38,63,29
451,78,40,78,22
452,69,53,53,10
453,83,59,91,33
454,62,91,67,14
455,72,65,83,19
456,61,74,75,28
457,96,39,92,15
458,80,75,57,39
459,76,68,84,39
460,102,21,66,22
461,102,51,76,17
462,93,38,93,24
463,106,61,87,26
464,107,46,100,7
465,80,34,93,35
466,105,95,100,22
467,59,54,92,34
468,55,69,80,34
469,60,26,76,29
470,105,77,71,15
471,79,30,50,17
472,97,82,55,35
473,92,76,78,30
474,67,50,78,17
475,86,62,95,28
476,81,78,50,6
477,63,97,81,19
478,97,62,100,8
479,57,86,65,13
480,95,21,89,25
481,93,79,51,39
482,104,35,60,33
483,59,84,56,27
484,74,90,93,26
485,105,52,87,9
486,94,92,58,20
487,81,77,53,30
488,98,94,77,16
489,110,99,83,18
490,59,65,74,21
491,70,81,86,23
492,56,48,94,38
493,90,65,80,29
494,78,80,97,30
495,101,90,62,30
496,106,59,80,5
497,76,85,50,38
498,81,81,88,27
499,80,47,91,37
500,71,97,53,27
501,93,67,98,31
502,104,91,89,40
503,53,34,79,5
504,67,45,67,37
505,75,44,79,12
506,53,55,56,25
507,80,96,87,24
508,80,41,96,20
509,83,66,95,24
510,78,53,88,13
511,78,49,57,23
512,53,43,69,34
513,93,98,50,25
514,106,55,81,29
515,57,41,97,28
516,101,81,66,25
517,53,64,71,35
518,53,41,87,29
519,104,77,64,15
520,84,33,98,18
521,50,30,55,11
522,99,93,75,13
523,50,51,73,38
524,75,68,91,11
525,109,32,98,34
526,55,97,68,12
527,92,45,79,38
528,68,52,53,18
529,68,57,82,37
530,53,38,60,34
531,76,81,89,33
532,50,62,53,8
533,67,83,64,39
534,97,73,62,27
535,63,58,69,19
536,55,54,63,32
537,71,43,60,10
538,81,60,79,36
539,109,48,89,21
540,110,93,69,13
541,60,97,100,17
542,77,39,74,16
543,50,33,68,15
544,56,78,61,31
545,56,22,82,31
546,64,81,97,27
547,102,77,53,7
548,68,40,58,37
549,50,91,51,23
550,74,36,99,22
551,99,62,89,30
552,51,43,52,8
553,54,21,73,23
554,57,97,58,22
555,91,76,89,35
556,56,67,63,15
557,51,92,86,11
558,96,38,74,33
559,86,59,92,7
560,64,57,74,18
561,53,42,78,20
562,107,75,74,37
563,110,85,66,7
564,74,63,59,28
565,102,61,50,8
566,70,60,56,36
567,92,66,66,21
568,80,40,80,17
569,70,95,76,32
570,104,61,71,17
571,68,48,92,5
572,62,86,79,26
573,79,55,91,30
574,75,32,92,7
575,69,42,51,17
576,98,25,88,30
577,50,96,91,33
578,92,34,56,8
579,69,74,77,6
580,87,91,79,11
581,87,81,100,9
582,56,64,74,10
583,66,42,69,14
584,60,58,93,29
585,79,49,57,6
586,78,56,73,10
587,84,48,84,29
588,106,43,92,13
589,100,79,94,20
590,71,46,62,16
591,64,98,94,17
592,81,48,96,29
593,67,73,79,12
594,70,94,69,36
595,65,75,53,29
596,97,98,82,6
597,103,79,74,16
598,77,36,87,19
599,101,38,93,26
600,58,77,88,34
601,73,25,93,33
602,103,67,99,21
603,99,28,73,28
604,51,39,93,23
605,92,38,63,25
606,50,33,81,11
607,91,68,90,8
608,101,26,94,26
609,74,54,73,9
610,58,75,86,11
611,72,59,78,33
612,59,35,50,39
613,67,45,51,20
614,62,36,91,23
615,73,51,88,19
616,73,43,53,36
617,67,22,87,38
618,81,71,90,10
619,106,21,78,12
620,90,38,76,40
621,66,42,97,14
622,87,32,54,39
623,83,60,91,22
624,79,42,74,26
625,84,38,51,34
626,110,90,83,32
627,105,22,89,27
628,52,70,84,29
629,108,69,54,19
630,74,93,96,38
631,86,50,76,7
632,73,86,66,34
633,59,61,92,14
634,98,37,70,38
635,102,88,78,8
636,98,85,60,40
637,84,34,50,33
638,100,69,58,35
639,94,25,96,24
640,69,40,62,27
641,65,88,100,18
642,88,94,59,26
643,94,75,95,17
644,94,97,84,17
645,90,75,91,14
646,82,35,61,28
647,74,26,63,35
648,55,45,63,7
649,77,24,53,29
650,105,84,68,36
651,67,61,88,40
652,105,58,97,18
653,65,45,55,23
654,63,31,91,9
655,80,52,94,34
656,73,100,77,36
657,77,78,76,9
658,57,84,61,18
659,76,49,83,30
660,68,65,79,5
661,108,95,68,11
662,57,49,69,13
663,75,93,52,22
664,54,42,82,36
665,69,58,54,36
666,63,71,78,17
667,75,56,99,34
668,110,66,57,6
669,77,76,62,22
670,94,84,86,8
671,96,37,76,40
672,108,91,80,7
673,65,64,92,5
674,106,81,90,40
675,67,66,59,32
676,81,86,82,35
677,65,48,76,6
678,110,93,66,12
679,81,50,83,34
680,82,28,94,22
681,69,63,62,28
682,100,61,64,12
683,64,96,58,14
684,102,65,87,33
685,99,77,77,36
686,91,73,54,39
687,50,32,66,36
688,60,95,88,24
689,102,47,97,11
690,52,69,62,14
691,83,51,91,29
692,56,54,57,36
693,82,59,65,5
694,67,68,78,25
695,63,77,54,24
696,62,27,65,30
697,106,79,50,10
698,69,55,91,35
699,81,23,91,16
700,63,41,72,9
701,74,72,85,34
702,76,74,69,16
703,103,80,91,19
704,87,41,99,23
705,99,79,89,24
706,82,64,59,29
707,85,94,78,25
708,60,91,53,33
709,106,68,61,31
710,89,53,67,37
711,66,60,90,39
712,67,43,70,6
713,99,31,90,8
714,76,22,52,34
715,78,28,56,7
716,73,85,84,17
717,58,76,94,23
718,72,75,83,31
719,58,33,81,30
720,76,53,50,6
721,86,82,70,34
722,60,78,57,11
723,89,59,50,39
724,110,82,75,19
725,96,35,61,14
726,88,75,52,30
727,78,67,88,38
728,87,40,88,32
729,71,33,88,14
730,105,97,89,13
731,52,40,52,39
732,88,84,55,34
733,53,82,52,23
734,56,57,90,27
735,59,65,72,28
736,70,65,71,30
737,78,87,66,22
738,88,69,53,11
739,70,44,81,15
740,66,60,68,14
741,96,35,95,11
742,94,26,67,37
743,103,86,88,14
744,95,23,91,33
745,85,74,85,6
746,60,59,75,11
747,51,34,50,38
748,84,57,98,19
749,86,44,95,26
750,53,44,75,17
751,107,22,78,33
752,77,78,82,38
753,63,42,100,34
754,77,72,88,17
755,62,92,63,17
756,94,86,97,30
757,95,21,97,16
758,79,97,66,7
759,53,72,88,30
760,63,34,93,20
761,103,32,75,12
762,80,75,91,19
763,51,69,64,28
764,80,62,85,19
765,60,41,79,35
766,64,52,65,33
767,59,40,84,21
768,87,70,50,16
769,55,65,62,17
770,89,28,78,38
771,59,61,94,26
772,93,69,72,28
773,98,70,50,17
774,80,52,68,32
775,58,80,71,15
776,66,28,75,24
777,83,45,57,18
778,92,20,61,21
779,52,96,52,39
780,70,34,89,25
781,54,94,55,18
782,81,39,54,23
783,66,40,81,5
784,102,43,94,32
785,75,39,85,17
786,51,53,96,8
787,78,41,78,22
788,90,49,50,32
789,50,53,87,33
790,87,73,77,10
791,102,89,95,17
792,54,48,81,19
793,52,30,67,11
794,104,96,79,11
795,103,30,63,31
796,54,79,62,31
797,59,87,59,22
798,66,47,65,24
799,87,61,63,35
800,65,45,67,27
801,53,75,89,26
802,100,22,61,38
803,52,35,71,10
804,83,76,73,16
805,78,37,60,13
806,92,74,92,12
807,89,78,65,10
808,78,100,94,8
809,53,100,56,17
810,83,79,82,11
811,50,39,70,29
812,69,69,94,40
813,85,84,81,38
814,61,29,59,33
815,94,30,73,37
816,82,72,69,16
817,61,35,99,22
818,52,98,72,34
819,71,86,89,26
820,84,86,86,37
821,76,27,72,28
822,102,85,92,12
823,70,27,54,12
824,89,49,67,21
825,94,34,83,27
826,70,44,77,7
827,69,22,65,12
828,91,49,56,30
829,94,46,99,14
830,96,92,98,6
831,77,42,68,34
832,104,43,92,31
833,63,100,99,20
834,79,26,83,14
835,66,39,96,9
836,98,79,79,36
837,69,37,70,17
838,57,57,85,40
839,97,26,64,39
840,101,27,90,7
841,67,95,54,15
842,98,46,84,11
843,97,73,75,23
844,86,66,75,37
845,105,61,71,15
846,101,59,67,37
847,64,96,87,27
848,94,88,97,19
849,102,44,73,16
850,60,58,99,5
851,107,95,74,37
852,70,66,82,9
853,101,62,97,7
854,76,51,72,30
855,90,95,52,18
856,63,23,83,36
857,102,23,57,7
858,67,79,97,36
859,51,60,81,11
860,51,58,63,28
861,50,58,50,15
862,51,32,85,27
863,50,99,73,23
864,64,92,93,33
865,52,96,51,18
866,69,63,76,25
867,94,56,72,11
868,82,90,99,12
869,81,42,97,19
870,89,100,53,27
871,78,60,86,13
872,53,50,50,7
873,81,51,50,9
874,83,39,50,16
875,77,90,58,21
876,79,82,81,7
877,83,55,88,14
878,61,92,80,5
879,109,84,95,11
880,105,24,85,17
881,79,88,86,24
882,73,68,78,13
883,74,91,74,7
884,95,53,86,11
885,77,50,94,39
886,60,37,85,26
887,60,80,62,14
888,63,26,82,30
889,68,49,80,8
890,71,50,94,29
891,55,26,88,5
892,65,25,66,14
893,102,76,92,30
894,99,95,61,32
895,92,87,52,7
896,83,42,86,34
897,102,72,53,15
898,60,88,70,35
899,68,26,73,5
900,78,20,58,13
901,61,51,86,36
902,79,38,96,11
903,95,64,85,9
904,110,72,92,35
905,72,60,67,14
906,86,20,54,21
907,60,81,96,26
908,91,73,84,22
909,69,90,99,26
910,110,88,54,6
911,100,98,70,34
912,71,99,60,18
913,97,92,88,19
914,73,72,93,15
915,96,68,81,28
916,53,80,55,15
917,77,59,85,20
918,106,37,96,28
919,96,90,56,26
920,100,58,60,5
921,71,50,57,29
922,102,85,55,7
923,103,94,53,11
924,86,26,64,39
925,105,88,73,35
926,67,73,67,18
927,97,71,56,18
928,60,48,70,22
929,108,92,55,26
930,103,51,93,14
931,102,98,90,23
932,66,36,85,17
933,78,95,56,30
934,79,46,73,12
935,94,97,60,40
936,70,32,64,24
937,90,97,91,30
938,109,44,81,36
939,66,70,95,5
940,58,55,80,31
941,79,43,87,39
942,91,29,63,21
943,82,81,78,27
944,88,31,84,19
945,110,27,56,29
946,84,89,92,38
947,73,41,75,28
948,79,52,64,26
949,63,80,65,33
950,103,69,83,22
951,76,62,59,31
952,107,37,65,9
953,68,42,80,24
954,105,38,57,6
955,89,93,77,22
956,78,77,74,39
957,69,95,82,24
958,74,77,50,16
959,95,77,59,5
960,95,43,92,5
961,86,76,61,31
962,107,88,86,7
963,98,66,68,9
964,93,75,70,17
965,61,92,85,18
966,72,92,90,36
967,99,28,57,9
968,94,31,51,29
969,52,38,92,36
970,87,41,51,10
971,50,32,90,7
972,77,31,100,16
973,77,61,71,24
974,55,69,82,18
975,106,78,98,39
976,54,83,63,23
977,109,25,66,19
978,65,75,58,32
979,73,36,54,8
980,98,24,71,6
981,108,71,95,40
982,100,27,75,11
983,84,34,80,26
984,51,62,86,13
985,107,77,94,6
986,65,60,59,16
987,83,83,72,30
988,101,45,95,29
989,53,45,51,18
990,55,73,81,30
991,80,22,88,27
992,58,95,86,14
993,81,27,87,35
994,95,49,56,9
995,64,98,58,29
996,60,62,65,38
997,97,60,64,34
998,77,72,63,16
999,90,94,96,32
1000,65,41,93,16
1001,90,80,56,33
1002,61,27,57,6
1003,80,88,67,14
1004,69,38,61,5
1005,56,25,99,19
1006,100,81,86,25
1007,76,34,97,11
1008,63,32,76,39
1009,97,26,52,39
1010,109,89,71,35
1011,93,34,63,16
1012,62,46,87,26
1013,66,83,60,30
1014,89,65,89,33
1015,97,80,58,14
1016,84,50,89,30
1017,79,64,77,14
1018,51,60,62,10
1019,70,79,54,7
1020,101,29,71,29
1021,75,50,92,15
1022,58,44,92,7
1023,55,22,87,34
1024,105,86,100,20
1025,67,100,73,31
1026,56,65,59,11
1027,60,86,81,39
1028,97,94,91,6
1029,68,76,75,18
1030,109,55,84,30
1031,89,21,89,27
1032,102,94,66,39
1033,91,86,90,31
1034,91,96,88,33
1035,52,35,92,25
1036,95,25,66,35
1037,50,39,69,19
1038,88,29,93,21
1039,91,85,77,16
1040,69,43,72,31
1041,83,49,100,25
1042,108,78,80,6
1043,66,55,64,39
1044,87,52,54,28
1045,91,63,91,29
1046,57,55,91,19
1047,78,63,50,14
1048,57,29,66,31
1049,65,91,87,12
1050,74,30,55,29
1051,57,55,88,26
1052,97,77,58,13
1053,110,94,83,32
1054,89,81,70,10
1055,101,68,85,14
1056,74,27,60,10
1057,88,81,57,22
1058,81,25,61,9
1059,103,79,85,15
1060,63,99,69,16
1061,60,92,58,5
1062,57,26,85,38
1063,59,84,84,7
1064,88,48,63,27
1065,109,79,65,7
1066,54,92,98,15
1067,102,82,77,26
1068,67,43,71,31
1069,54,73,66,27
1070,74,85,94,20
1071,108,85,91,36
1072,102,38,57,8
1073,53,72,56,16
1074,64,38,93,26
1075,59,77,100,39
1076,71,55,78,8
1077,50,62,94,11
1078,81,71,50,13
1079,81,56,56,8
1080,53,20,50,40
1081,95,42,93,40
1082,66,58,85,16
1083,83,58,81,38
1084,54,85,56,6
1085,78,59,72,5
1086,109,80,88,29
1087,65,94,91,19
1088,91,60,71,6
1089,64,24,91,11
1090,89,63,71,14
1091,71,84,88,30
1092,106,92,87,28
1093,93,32,100,37
1094,94,50,80,40
1095,66,80,50,25
1096,93,35,100,38
1097,69,96,57,14
1098,64,85,50,29
1099,70,69,66,23
1100,103,84,79,12
1101,61,78,96,16
1102,64,62,95,24
1103,86,29,85,28
1104,50,51,84,17
1105,96,46,50,35
1106,76,48,79,13
1107,98,30,77,29
1108,79,81,54,26
1109,110,52,77,39
1110,66,54,50,20
1111,93,93,87,38
1112,107,76,59,32
1113,50,33,88,23
1114,73,33,99,6
1115,95,54,78,33
1116,105,45,84,31
1117,91,64,64,26
1118,110,46,79,24
1119,94,64,69,20
1120,76,57,73,18
1121,81,37,76,30
1122,95,88,60,5
1123,101,79,89,21
1124,54,40,94,28
1125,88,20,80,22
1126,91,78,76,32
1127,99,33,68,8
1128,104,64,77,26
1129,88,42,63,11
1130,52,57,85,13
1131,84,25,60,19
1132,74,65,87,5
1133,76,72,79,12
1134,110,73,81,8
1135,72,33,77,15
1136,68,89,63,22
1137,65,48,50,40
1138,55,62,69,23
1139,68,37,59,17
1140,107,95,71,23
1141,63,59,56,31
1142,109,41,77,22
1143,56,67,98,33
1144,83,45,89,30
1145,52,22,70,8
1146,97,47,72,11
1147,82,54,55,20
1148,71,72,69,37
1149,52,81,72,20
1150,64,62,70,37
1151,109,52,56,18
1152,79,60,50,32
1153,83,43,77,16
1154,50,94,59,26
1155,110,38,68,20
1156,94,89,95,28
1157,62,24,60,11
1158,100,82,61,23
1159,84,70,68,21
1160,64,47,65,9
1161,58,22,100,23
1162,85,72,85,40
1163,59,57,79,25
1164,63,26,53,21
1165,66,64,59,34
1166,61,44,68,8
1167,101,34,74,31
1168,99,59,91,11
1169,97,58,86,18
1170,70,39,76,12
1171,52,80,75,12
1172,84,78,53,31
1173,70,21,90,36
1174,76,22,51,37
1175,108,43,72,10
1176,92,96,84,11
1177,85,45,89,33
1178,62,35,61,7
1179,58,60,76,36
1180,99,81,68,37
1181,107,48,99,40
1182,78,75,51,10
1183,67,40,84,40
1184,84,20,100,32
1185,102,33,78,17
1186,59,67,51,31
1187,55,34,97,9
1188,55,88,73,20
1189,66,100,83,10
1190,92,69,83,15
1191,102,64,89,19
1192,96,76,79,31
1193,74,98,73,35
1194,72,49,66,15
1195,98,79,94,24
1196,68,46,56,19
1197,79,54,81,26
1198,78,99,74,31
1199,62,81,63,25
1200,78,64,92,40
1201,80,90,76,28
1202,100,27,79,33
1203,91,65,88,35
1204,85,99,60,16
1205,83,23,83,17
1206,62,35,74,18
1207,74,23,97,22
1208,108,90,65,31
1209,53,55,70,20
1210,110,68,51,39
1211,90,29,60,30
1212,80,38,65,37
1213,91,61,97,11
1214,60,87,65,29
1215,104,29,86,7
1216,71,43,65,7
1217,86,94,53,5
1218,59,97,53,27
1219,58,92,64,8
1220,110,62,56,24
1221,96,79,69,20
1222,70,42,70,23
1223,56,69,68,17
1224,73,39,52,40
1225,57,62,74,17
1226,84,25,57,13
1227,101,58,59,6
1228,69,84,51,12
1229,58,24,70,15
1230,97,69,99,18
1231,76,93,52,40
1232,95,76,53,30
1233,62,87,95,32
1234,107,73,82,7
1235,71,42,96,20
1236,74,47,64,9
1237,51,100,82,26
1238,66,21,56,31
1239,52,86,80,10
1240,83,29,92,35
1241,73,48,64,16
1242,62,78,52,31
1243,84,76,89,16
1244,80,65,72,14
1245,108,77,75,38
1246,102,49,71,40
1247,56,48,89,12
1248,95,26,65,33
1249,67,91,72,32
1250,101,28,95,27
1251,77,60,77,12
1252,86,45,53,10
1253,66,96,67,7
1254,108,42,51,38
1255,60,33,81,24
1256,57,88,94,40
1257,52,40,80,13
1258,109,21,95,24
1259,53,29,73,36
1260,104,26,87,10
1261,81,43,69,10
1262,73,86,89,9
1263,75,81,51,21
1264,66,81,87,10
1265,53,82,53,32
1266,79,36,97,22
1267,105,67,79,17
1268,58,89,63,17
1269,86,37,59,23
1270,106,52,56,11
1271,81,70,64,24
1272,93,96,58,8
1273,60,31,100,32
1274,53,40,96,27
1275,97,27,92,7
1276,67,70,50,29
1277,70,49,83,38
1278,96,63,59,37
1279,97,94,50,19
1280,81,36,64,25
1281,64,24,63,30
1282,54,72,51,24
1283,71,94,76,20
1284,65,20,52,5
1285,109,98,62,7
1286,84,49,62,14
1287,85,87,66,9
1288,83,58,71,39
1289,96,37,64,36
1290,58,25,80,22
1291,54,64,71,13
1292,91,49,87,12
1293,81,41,98,9
1294,74,40,68,36
1295,107,95,96,38
1296,69,42,92,34
1297,61,82,94,18
1298,106,95,64,8
1299,55,96,76,6
1300,71,53,65,17
1301,82,33,60,29
1302,54,69,67,28
1303,83,33,83,7
1304,75,66,69,28
1305,96,40,72,17
1306,53,92,90,39
1307,68,69,92,23
1308,97,49,67,38
1309,84,98,57,14
1310,55,25,77,30
1311,98,31,92,16
1312,57,69,94,20
1313,57,60,78,5
1314,103,100,81,26
1315,88,73,86,20
1316,59,28,64,22
1317,91,39,64,33
1318,61,62,66,18
1319,89,59,100,11
1320,89,61,57,37
1321,98,33,70,16
1322,56,86,77,13
1323,74,93,95,24
1324,59,91,78,17
1325,76,55,94,39
1326,82,76,88,28
1327,50,92,51,29
1328,65,94,91,36
1329,65,50,100,25
1330,50,62,87,29
1331,62,57,73,10
1332,56,22,93,30
1333,90,59,66,5
1334,63,100,76,5
1335,94,43,72,30
1336,58,22,64,8
1337,73,61,53,39
1338,54,56,81,7
1339,87,71,51,39
1340,87,95,80,13
1341,51,58,97,35
1342,88,47,56,9
1343,102,75,68,38
1344,53,68,72,21
1345,84,27,63,37
1346,56,57,52,19
1347,91,60,89,30
1348,85,51,96,9
1349,50,22,98,14
1350,67,41,58,23
1351,106,74,67,31
1352,92,47,81,19
1353,108,20,71,33
1354,90,32,69,13
1355,92,26,70,14
