sample_id,buses_operating,total_buses,avg_vehicles_per_hour,peak_hour_multiplier,congested_west,congested_south,congested_east,congested_north,congested_central
96,183,300,8642,1.58,0,1,1,1,0
97,167,300,4745,1.34,1,1,1,0,0
98,240,300,6843,1.65,1,0,0,0,0
99,212,300,5144,1.31,0,0,1,0,1
100,151,300,6280,1.24,1,0,1,0,0
101,269,300,4469,1.62,1,0,1,0,0
102,195,300,6115,1.55,0,0,0,1,1
103,259,300,3710,1.44,1,1,1,1,0
104,237,300,3024,1.86,0,1,1,0,1
105,130,300,6473,1.64,1,0,0,1,0
106,165,300,8619,1.4,0,0,0,1,0
107,263,300,5347,1.92,1,1,1,0,1
108,170,300,8338,1.37,0,1,0,0,0
109,272,300,6437,1.34,1,1,1,0,1
110,216,300,3942,1.21,0,1,0,0,1
111,239,300,7996,2.05,1,1,1,1,1
112,256,300,8269,1.49,0,1,0,0,1
113,164,300,5106,1.49,1,0,0,0,0
114,245,300,3581,1.34,1,1,0,1,0
115,207,300,5320,1.66,1,1,0,0,0
116,197,300,3717,1.32,0,1,0,1,1
117,227,300,3530,1.7,1,1,0,1,1
118,226,300,8138,1.4,0,1,0,1,0
119,239,300,7302,1.84,1,0,0,0,1
120,249,300,4800,2.11,1,0,1,1,1
121,216,300,5862,1.28,0,1,1,1,1
122,255,300,8683,1.54,0,1,0,1,1
123,249,300,7187,1.96,0,0,0,1,0
124,202,300,3985,1.71,0,0,0,0,1
125,128,300,4646,1.42,1,1,0,0,1
126,280,300,6293,2.17,0,0,0,1,0
127,180,300,7989,1.65,0,1,0,0,0
128,207,300,7645,1.65,0,1,1,0,1
129,272,300,7501,2.03,0,0,0,1,0
130,152,300,6896,1.64,1,1,1,0,1
131,244,300,3756,1.98,0,1,1,1,0
132,218,300,3957,1.58,1,1,1,1,0
133,220,300,4487,2.04,1,0,0,1,1
134,207,300,7531,2.01,1,1,0,0,1
135,151,300,5408,1.39,1,0,1,0,1
136,276,300,5077,1.52,1,0,1,1,1
137,131,300,6486,1.59,0,1,0,0,0
138,212,300,4286,1.22,0,1,0,0,0
139,193,300,4043,1.52,1,1,1,1,1
140,187,300,7411,1.95,0,0,0,1,0
141,187,300,5222,1.91,0,1,0,0,0
142,276,300,5725,1.46,1,0,1,0,0
143,155,300,5894,1.54,1,1,0,1,1
144,134,300,6866,1.74,0,1,0,0,1
145,273,300,5672,2.03,0,1,1,1,0
146,176,300,8410,1.22,0,0,0,0,1
147,229,300,4844,1.47,1,1,1,0,1
148,260,300,7307,2.09,1,0,1,0,0
149,184,300,6605,2.13,0,1,1,1,0
150,219,300,8972,1.94,1,1,1,1,1
151,220,300,4309,2.18,1,0,0,1,1
152,232,300,5471,1.31,1,1,0,0,0
153,280,300,3166,1.54,1,0,1,1,0
154,253,300,4512,1.58,0,1,1,0,1
155,265,300,5320,1.64,1,1,1,1,1
156,262,300,5183,1.29,0,1,1,0,1
157,269,300,4801,1.69,1,1,1,1,0
158,184,300,7952,1.88,1,0,1,0,1
159,127,300,8686,1.61,0,1,1,1,1
160,203,300,6820,1.56,0,0,1,0,0
161,267,300,7209,1.26,0,0,0,0,1
162,179,300,6095,1.5,1,0,1,0,1
163,177,300,7194,1.9,1,1,0,0,0
164,124,300,3439,2.17,0,0,0,1,0
165,136,300,3857,2.2,0,0,1,1,0
166,135,300,6177,1.77,0,1,0,0,1
167,189,300,3001,1.73,0,1,0,0,0
168,256,300,8545,2.18,1,1,0,0,1
169,123,300,8232,1.44,0,0,1,1,0
170,212,300,9000,1.42,0,1,0,0,1
171,272,300,6173,1.7,0,1,0,0,1
172,239,300,6553,1.21,1,1,0,1,1
173,207,300,3727,1.21,0,1,1,1,1
174,167,300,7766,1.66,1,0,1,0,0
175,187,300,4231,2.04,1,1,1,0,0
176,155,300,3072,2.06,1,1,1,1,1
177,153,300,4043,1.23,1,0,0,0,0
178,195,300,4525,1.34,1,1,0,1,0
179,197,300,6816,2.06,0,1,0,1,0
180,166,300,7771,2.12,0,1,0,1,1
181,123,300,4439,1.48,1,0,1,1,1
182,254,300,4836,2.01,1,1,1,0,1
183,178,300,4247,2.04,1,0,0,0,0
184,162,300,5809,1.63,0,1,0,1,1
185,252,300,8397,1.4,0,1,0,1,0
186,254,300,6467,1.9,1,1,1,1,0
187,213,300,8191,2.01,1,0,1,0,0
188,232,300,3632,1.62,0,0,1,1,1
189,140,300,3259,1.96,0,0,0,1,0
190,238,300,6609,1.34,0,1,1,1,1
191,230,300,4714,1.35,1,1,0,1,0
192,132,300,4380,1.47,1,1,0,0,1
193,256,300,7166,1.24,0,1,1,1,1
194,206,300,7094,1.56,0,1,0,0,0
195,208,300,3670,1.59,1,0,1,1,0
196,174,300,7088,1.46,0,1,0,1,0
197,195,300,8824,1.79,0,1,0,1,1
198,232,300,7394,1.92,0,0,1,1,0
199,203,300,6804,1.64,0,1,1,0,1
200,164,300,7616,1.68,0,1,0,1,0
201,130,300,7365,1.94,0,0,1,1,0
202,206,300,7043,1.31,0,0,1,0,0
203,223,300,8708,1.99,0,0,0,0,1
204,136,300,4024,1.65,1,0,0,0,0
205,166,300,8518,1.5,1,1,1,1,1
206,181,300,7257,1.3,1,1,1,0,1
207,256,300,8285,1.38,1,1,0,1,0
208,161,300,3375,1.73,0,1,0,0,1
209,154,300,3938,1.71,1,0,1,0,1
210,227,300,7489,1.8,0,1,0,1,0
211,197,300,7549,1.7,0,1,1,1,0
212,158,300,7886,1.29,1,0,1,0,1
213,196,300,5294,1.87,1,0,0,1,1
214,220,300,4274,1.31,1,1,0,0,1
215,234,300,4886,1.84,1,0,1,1,0
216,133,300,3722,1.36,1,1,0,1,1
217,132,300,8526,1.32,1,1,1,0,1
218,206,300,3975,2.14,0,1,1,0,0
219,244,300,5485,1.6,0,1,1,1,1
220,250,300,4004,1.57,1,0,1,1,1
221,134,300,7238,1.34,1,0,1,0,0
222,240,300,6896,1.22,0,1,1,0,1
223,251,300,7357,1.71,1,0,1,1,0
224,158,300,5298,1.64,0,1,1,0,1
225,226,300,4424,1.96,0,1,1,1,1
226,245,300,5112,1.84,0,0,1,0,1
227,140,300,6291,1.61,1,1,0,0,1
228,215,300,8040,2.14,1,0,0,0,1
229,264,300,6807,1.55,0,1,0,0,0
230,233,300,3478,1.72,0,0,0,1,1
231,244,300,7656,2.19,1,0,0,1,0
232,227,300,3429,1.88,1,1,1,0,1
233,153,300,5842,2.05,1,1,1,0,0
234,184,300,3936,1.89,1,1,1,0,1
235,184,300,8425,1.73,0,1,1,1,0
236,132,300,7830,1.32,0,0,1,0,1
237,167,300,4001,1.48,0,1,0,0,0
238,160,300,4877,1.92,0,1,1,1,1
239,223,300,8958,1.96,1,1,1,1,1
240,247,300,4000,1.8,0,1,0,1,0
241,261,300,4427,1.31,1,0,0,1,0
242,253,300,3147,1.21,0,1,1,0,0
243,251,300,3213,1.59,1,1,1,0,0
244,251,300,7666,1.59,1,1,0,0,1
245,164,300,4961,1.85,1,1,1,0,1
246,230,300,5928,1.65,0,1,0,1,0
247,257,300,6836,1.8,1,1,1,0,0
248,137,300,6549,1.51,1,1,1,0,0
249,272,300,4563,1.76,0,0,1,1,1
250,172,300,3427,1.66,0,1,1,1,1
251,217,300,7387,1.94,1,0,0,1,0
252,124,300,8091,1.78,0,1,0,1,0
253,192,300,8884,1.66,1,0,1,1,0
254,147,300,4948,2.13,1,0,0,0,1
255,234,300,5864,1.37,1,0,1,1,0
256,180,300,7998,1.95,0,1,0,1,1
257,120,300,8056,1.89,0,0,1,0,1
258,156,300,8780,1.38,1,0,1,1,0
259,249,300,3519,2.14,0,0,0,1,1
260,207,300,7955,1.46,0,1,0,0,1
261,184,300,3425,1.79,0,1,0,1,1
262,223,300,4593,1.26,1,0,0,1,1
263,231,300,6442,1.5,1,1,0,0,1
264,184,300,3237,2.0,1,0,1,1,1
265,153,300,5129,2.15,1,0,0,1,1
266,147,300,6774,1.67,0,1,1,0,0
267,120,300,7968,1.68,1,0,0,1,0
268,168,300,3164,1.62,0,0,1,0,0
269,266,300,7015,1.37,0,0,1,0,0
270,161,300,3416,1.48,1,0,1,1,0
271,217,300,5728,1.47,0,0,0,1,0
272,235,300,4070,1.73,1,0,1,0,0
273,195,300,5331,1.55,1,0,0,1,1
274,251,300,6549,1.41,0,1,1,0,0
275,258,300,7215,1.66,0,0,1,1,0
276,240,300,4506,1.41,0,0,0,0,1
277,207,300,5515,1.59,1,1,0,1,1
278,222,300,3102,1.31,0,0,0,0,1
279,155,300,5914,1.67,1,0,1,0,1
280,204,300,5846,2.15,1,1,0,1,1
281,247,300,8104,1.71,0,1,1,1,1
282,196,300,6874,1.43,0,0,1,0,0
283,138,300,4033,1.47,1,1,0,1,0
284,208,300,5886,1.4,1,1,1,0,1
285,253,300,4567,1.88,1,0,0,0,0
286,215,300,8130,1.56,1,0,0,1,1
287,135,300,6499,1.23,0,1,0,1,0
288,226,300,6114,2.06,0,1,1,1,1
289,169,300,8252,1.86,1,0,1,1,1
290,227,300,6978,1.39,1,0,0,0,1
291,233,300,3230,1.28,1,1,1,1,0
292,280,300,7432,1.24,1,1,0,0,0
293,151,300,7239,1.57,0,0,0,0,1
294,153,300,6469,1.44,1,1,1,0,0
295,217,300,5595,1.81,0,1,1,0,0
296,197,300,8633,1.48,0,1,0,0,1
297,249,300,7431,1.6,1,0,1,1,1
298,191,300,3321,2.11,0,1,0,0,1
299,191,300,4492,1.56,0,1,0,1,1
300,177,300,5407,1.71,1,1,0,1,0
301,122,300,6569,1.9,1,1,0,1,0
302,196,300,5648,1.43,0,0,0,0,1
303,121,300,7240,1.26,0,0,0,0,1
304,132,300,4131,1.71,0,1,1,1,0
305,261,300,5233,1.33,1,1,0,1,0
306,203,300,8933,1.31,1,0,1,0,1
307,199,300,7225,1.72,1,0,0,1,1
308,272,300,6219,1.9,0,0,1,0,1
309,171,300,6636,1.24,0,0,0,1,0
310,177,300,6706,1.91,1,1,1,1,1
311,229,300,4794,1.67,0,1,1,1,1
312,163,300,4405,2.03,1,0,0,0,1
313,156,300,6564,1.96,0,1,1,0,1
314,154,300,7515,1.26,1,0,0,0,0
315,160,300,6869,2.09,0,1,0,0,1
316,184,300,5577,1.88,0,1,0,0,0
317,139,300,5805,1.3,1,1,0,1,1
318,224,300,3821,1.59,0,0,1,0,0
319,122,300,3059,1.97,0,1,1,1,1
320,278,300,6936,1.79,1,1,1,1,1
321,203,300,8798,1.61,0,0,0,1,0
322,132,300,3429,1.24,0,1,1,0,1
323,236,300,5312,2.06,1,1,1,0,0
324,193,300,8970,1.55,1,0,0,1,0
325,153,300,7574,1.4,1,0,0,1,0
326,228,300,7961,1.45,0,1,1,1,1
327,228,300,7959,1.47,1,1,0,0,0
328,261,300,3263,2.15,1,0,0,0,0
329,221,300,7360,1.52,1,0,1,0,1
330,152,300,5424,1.35,1,0,0,0,0
331,273,300,5595,1.45,0,1,0,0,1
332,165,300,3445,1.87,1,0,1,0,1
333,150,300,6767,1.34,1,0,0,1,1
334,217,300,5396,1.43,0,0,0,1,0
335,259,300,4162,1.46,0,1,1,0,0
336,254,300,7227,1.37,1,1,1,1,1
337,185,300,7011,2.09,0,1,1,1,1
338,257,300,4849,1.29,1,0,1,1,0
339,143,300,4581,1.48,1,0,0,1,0
340,134,300,5385,1.24,0,1,0,0,1
341,142,300,3828,2.09,1,1,0,0,1
342,191,300,6536,1.47,0,0,0,0,1
343,263,300,3928,1.9,0,1,1,0,0
344,186,300,8606,2.04,0,1,1,0,1
345,230,300,7058,2.08,1,1,1,1,0
346,232,300,6070,1.88,0,1,1,1,0
347,147,300,7281,2.0,0,0,1,1,0
348,182,300,7623,1.92,1,0,0,1,0
349,151,300,5541,1.36,1,0,0,0,1
350,179,300,7452,1.45,0,1,0,1,1
351,163,300,7627,1.81,1,0,0,1,1
352,217,300,7809,2.09,1,1,1,0,0
353,215,300,7303,1.32,1,0,0,0,0
354,179,300,3433,1.31,0,1,0,1,0
355,148,300,3495,2.18,0,1,0,1,1
356,168,300,3775,1.68,0,0,1,0,0
357,147,300,4215,1.21,1,1,1,1,0
358,236,300,6313,1.4,1,1,1,1,1
359,167,300,6571,1.4,0,0,0,1,1
360,244,300,6501,1.34,1,0,1,1,1
361,236,300,5663,1.99,0,0,1,0,0
362,158,300,4075,2.11,1,1,0,1,1
363,277,300,6451,1.27,0,1,0,0,1
364,228,300,4244,1.96,0,1,1,1,1
365,230,300,6833,1.37,0,1,0,1,1
366,181,300,8817,1.3,0,1,0,0,1
367,197,300,8118,1.43,1,1,1,0,0
368,179,300,4345,2.02,0,1,1,1,1
369,159,300,4466,1.36,1,1,1,1,1
370,279,300,5304,1.69,1,0,0,0,1
371,143,300,8363,1.43,1,1,1,0,1
372,158,300,6693,1.5,1,1,1,0,0
373,237,300,5999,2.06,1,0,0,1,0
374,171,300,6672,1.65,0,0,0,0,1
375,247,300,3940,1.94,1,1,0,1,0
376,166,300,4253,1.91,0,0,0,0,1
377,271,300,4730,1.29,1,0,1,1,0
378,153,300,4533,2.0,1,0,1,1,1
379,182,300,3574,1.39,0,1,0,0,0
380,251,300,3790,1.76,0,1,0,0,1
381,246,300,4060,2.19,1,1,1,0,1
382,230,300,4579,1.56,1,0,1,0,1
383,160,300,8859,2.09,0,0,0,0,1
384,173,300,8443,1.47,0,0,1,0,1
385,204,300,6542,2.02,0,0,1,0,1
386,265,300,6362,2.02,1,1,1,1,1
387,267,300,7982,1.79,1,0,1,1,0
388,197,300,6320,1.44,0,1,0,0,0
389,161,300,3157,1.61,0,0,1,1,0
390,263,300,5200,1.8,1,0,0,1,1
391,270,300,3534,1.72,0,0,1,0,0
392,197,300,4341,2.01,0,1,0,0,0
393,239,300,4987,2.09,0,1,1,0,0
394,216,300,6480,2.09,1,0,0,1,0
395,224,300,7490,1.31,1,0,0,1,1
396,241,300,6726,1.62,1,0,1,0,1
397,256,300,4067,1.67,1,0,1,1,0
398,230,300,3654,2.03,1,0,1,1,0
399,128,300,4131,1.47,0,1,0,1,0
400,252,300,8098,2.11,0,1,1,1,0
401,264,300,7869,1.73,1,0,1,0,0
402,264,300,8276,1.22,1,0,0,0,1
403,124,300,4144,1.72,0,1,1,0,0
404,274,300,8003,1.81,0,1,0,0,1
405,266,300,3379,1.99,0,0,0,0,1
406,277,300,4438,1.43,0,1,1,0,0
407,198,300,6291,1.4,1,1,0,0,1
408,145,300,5874,2.03,0,1,0,0,1
409,227,300,4957,1.24,1,0,1,0,0
410,174,300,8824,1.57,1,1,0,0,1
411,253,300,7157,1.55,1,0,0,1,1
412,157,300,4277,1.58,0,1,0,0,1
413,252,300,8465,1.35,1,0,1,1,0
414,163,300,6603,1.5,1,1,0,1,1
415,250,300,8127,1.8,0,1,0,1,0
416,244,300,4722,2.12,1,0,1,1,0
417,224,300,8339,2.08,0,0,0,1,0
418,135,300,6327,1.74,1,1,0,0,1
419,267,300,4596,1.79,1,0,1,1,1
420,213,300,5455,1.8,0,0,0,1,1
421,279,300,7909,1.6,1,1,1,0,0
422,133,300,6510,1.67,0,0,1,0,0
423,155,300,7488,2.04,1,1,0,0,1
424,156,300,7566,1.59,0,0,1,0,0
425,193,300,7310,2.01,0,1,0,1,1
426,193,300,8438,1.72,0,0,0,1,0
427,231,300,3043,2.07,0,0,1,1,1
428,229,300,8273,2.05,1,1,1,1,1
429,222,300,6842,1.54,0,1,0,1,1
430,224,300,7494,1.53,0,0,0,1,1
431,249,300,3096,1.91,1,0,0,1,0
432,229,300,3523,1.26,1,1,1,0,1
433,276,300,6329,1.69,1,0,0,0,0
434,149,300,6795,2.16,1,1,0,0,1
435,222,300,7320,1.91,0,0,0,1,0
436,241,300,5493,1.27,1,1,0,0,1
437,264,300,5605,2.08,0,1,0,1,1
438,269,300,7165,1.77,1,1,1,1,1
439,126,300,6922,2.03,0,1,0,0,0
440,138,300,5309,1.63,1,1,1,0,1
441,256,300,8898,1.8,1,1,1,1,1
442,204,300,3353,1.97,0,1,1,1,0
443,142,300,6391,1.26,1,0,1,1,1
444,170,300,8605,1.31,1,0,0,1,0
445,208,300,7165,1.34,1,0,1,0,0
446,144,300,5061,1.57,1,0,0,0,0
447,177,300,6801,1.99,1,1,0,0,0
448,127,300,5943,1.61,0,0,1,1,1
449,233,300,3296,1.51,0,1,0,0,1
450,250,300,8211,1.58,1,1,0,1,0
451,264,300,4833,1.27,1,0,0,1,0
452,178,300,8487,1.5,0,1,0,0,0
453,137,300,5466,1.7,0,0,1,0,0
454,246,300,6754,1.76,0,0,0,0,1
455,166,300,7632,2.11,0,1,1,1,0
456,215,300,6020,1.27,0,0,1,0,1
457,205,300,5965,2.18,1,0,0,0,0
458,202,300,6352,1.98,0,0,1,1,0
459,269,300,3816,1.58,1,0,0,1,1
460,219,300,5857,1.93,0,0,0,1,1
461,258,300,5042,1.37,1,0,1,1,0
462,165,300,8232,1.97,0,1,1,1,1
463,182,300,8922,1.23,1,0,1,1,1
464,277,300,5321,1.45,1,1,1,0,0
465,202,300,4598,1.31,1,0,0,1,1
466,197,300,4675,1.78,1,0,0,1,1
467,195,300,8286,1.31,0,1,1,1,1
468,198,300,8756,1.85,1,0,0,1,1
469,201,300,8839,1.76,1,0,1,1,0
470,226,300,4173,1.85,0,0,0,0,1
471,174,300,6409,1.48,1,0,1,1,0
472,258,300,8524,1.86,0,0,1,1,1
473,249,300,3952,1.81,1,0,0,0,0
474,140,300,3443,1.47,1,0,0,1,1
475,228,300,5675,1.66,0,0,1,0,0
476,210,300,8713,1.7,0,1,0,1,0
477,219,300,5152,1.45,0,1,0,0,0
478,234,300,3048,1.51,1,0,0,1,0
479,122,300,3529,1.8,1,1,0,0,1
480,122,300,7317,1.26,0,1,0,0,1
481,208,300,7634,2.1,0,1,1,0,0
482,246,300,8764,2.08,0,1,0,1,0
483,227,300,3444,1.27,0,0,0,0,1
484,145,300,5589,2.07,0,0,1,1,0
485,176,300,5831,1.98,1,0,1,1,1
486,184,300,3040,1.7,0,0,0,1,0
487,208,300,4440,2.17,0,0,0,1,1
488,213,300,6945,2.03,1,0,0,0,1
489,239,300,8860,2.18,1,1,0,1,0
490,128,300,5649,1.32,1,1,1,0,1
491,161,300,7410,1.98,1,0,1,0,0
492,268,300,5309,1.4,0,0,0,1,1
493,192,300,7712,1.4,1,0,1,0,0
494,225,300,4085,1.3,0,1,1,1,1
495,252,300,7265,1.79,1,1,0,0,1
496,123,300,6890,1.64,0,1,0,1,0
497,178,300,7920,1.22,0,1,1,1,0
498,238,300,5554,1.92,1,1,0,1,1
499,239,300,3316,1.95,1,0,1,0,0
500,170,300,6590,1.79,0,1,1,1,1
501,130,300,5165,1.25,0,1,0,0,0
502,225,300,6451,1.65,1,1,0,1,1
503,208,300,4529,1.9,0,1,1,1,1
504,234,300,5445,1.83,0,1,0,1,1
505,126,300,5881,2.02,1,1,1,1,0
506,207,300,6602,1.8,0,0,0,1,1
507,268,300,8269,1.63,1,0,1,1,0
508,219,300,8472,1.27,1,1,0,0,1
509,244,300,7158,1.36,0,1,1,1,0
510,156,300,4380,2.04,0,0,1,0,0
511,200,300,8752,1.97,1,1,1,0,1
512,182,300,6994,1.73,0,0,1,0,0
513,239,300,5046,1.96,1,1,0,0,1
514,190,300,4593,1.29,0,0,1,0,1
515,178,300,5492,1.25,1,1,0,1,0
516,226,300,6597,2.01,0,1,1,0,1
517,151,300,5339,2.03,0,0,1,1,1
518,240,300,7924,1.37,0,0,0,1,1
519,137,300,7760,1.8,0,1,0,0,0
520,250,300,3009,1.21,0,1,0,1,1
521,215,300,4323,1.52,0,0,0,1,1
522,122,300,4969,1.61,1,1,1,0,0
523,174,300,3745,1.54,1,0,0,1,0
524,225,300,5071,1.39,0,1,1,0,0
525,127,300,7466,1.83,0,1,1,1,0
526,180,300,7233,1.96,0,0,1,1,0
527,126,300,8650,2.19,1,1,0,0,1
528,227,300,6727,1.69,1,0,1,0,1
529,197,300,5473,1.56,0,1,1,1,1
530,228,300,6424,1.22,0,0,0,1,0
531,269,300,8823,1.3,1,1,0,1,0
532,211,300,4273,1.98,0,0,0,0,1
533,121,300,3805,1.69,1,1,0,1,1
534,129,300,8460,1.29,0,0,0,1,1
535,233,300,7896,1.49,1,1,0,1,1
536,181,300,4394,1.55,1,1,0,0,1
537,266,300,5382,1.97,1,0,1,1,1
538,198,300,5083,1.48,1,1,1,0,0
539,175,300,3471,1.72,0,0,0,1,1
540,126,300,8768,1.33,1,1,0,1,0
541,257,300,5469,1.61,1,1,1,1,0
542,246,300,8394,2.16,0,1,1,0,0
543,256,300,7839,1.95,0,1,0,1,1
544,130,300,6710,1.32,1,0,1,0,1
545,174,300,4314,1.59,1,0,0,1,1
546,123,300,6254,1.97,1,1,0,0,0
547,243,300,8040,2.07,1,0,1,0,1
548,229,300,3300,1.83,0,1,1,0,1
549,268,300,6443,1.75,1,1,1,0,1
550,191,300,8073,1.25,1,1,1,1,1
551,139,300,5224,2.14,0,0,0,1,0
552,126,300,8211,1.48,0,0,1,1,0
553,229,300,3769,1.92,0,1,1,1,1
554,170,300,8813,1.36,1,1,0,0,0
555,157,300,4898,1.6,1,1,1,0,1
556,276,300,4811,1.87,1,1,0,1,1
557,182,300,5526,2.11,0,1,0,1,0
558,236,300,7761,2.07,0,0,0,0,1
559,252,300,8320,1.95,1,0,1,1,0
560,222,300,4927,2.16,0,0,1,1,0
561,169,300,7980,1.24,1,1,1,0,1
562,200,300,6327,1.27,1,1,1,0,1
563,251,300,3661,1.85,0,0,0,1,1
564,278,300,5674,1.73,1,0,1,1,0
565,137,300,6445,1.54,0,0,0,0,1
566,133,300,6540,2.01,1,1,1,1,0
567,257,300,4247,2.03,1,1,0,0,1
568,207,300,6678,1.29,1,0,1,1,1
569,152,300,7393,1.8,0,0,1,0,0
570,199,300,8883,1.66,1,0,1,0,0
571,274,300,4347,2.14,1,0,1,1,0
572,255,300,7448,1.76,0,0,1,0,1
573,172,300,4393,1.6,0,1,1,1,0
574,226,300,3824,2.1,0,1,0,1,0
575,193,300,7803,1.27,0,1,0,0,0
576,183,300,7511,1.86,0,0,1,0,1
577,225,300,7114,1.93,0,0,1,1,0
578,139,300,5476,1.59,0,1,0,0,0
579,163,300,6966,1.38,0,0,0,1,1
580,141,300,8313,2.12,1,1,1,0,1
581,211,300,6398,1.32,0,1,1,0,0
582,146,300,7796,1.97,1,1,1,1,1
583,167,300,4122,1.89,1,0,0,0,1
584,121,300,5171,2.15,1,1,1,1,0
585,271,300,6525,1.95,1,1,1,0,1
586,156,300,8537,1.71,0,0,0,1,0
587,202,300,6437,2.1,0,1,0,0,0
588,258,300,6829,1.61,0,1,1,0,0
589,159,300,8712,1.9,1,0,0,0,0
590,258,300,6108,1.57,1,1,0,0,1
591,200,300,6593,2.0,1,1,0,0,0
592,122,300,5149,1.24,1,0,1,1,1
593,186,300,8422,1.27,0,1,0,1,1
594,171,300,8235,1.23,0,0,1,0,0
595,205,300,5640,1.65,1,1,1,0,1
596,175,300,8900,1.26,0,0,1,1,1
597,175,300,8288,2.07,0,1,1,0,0
598,141,300,6504,2.11,0,0,1,0,1
599,250,300,4884,1.65,1,1,1,1,1
600,147,300,4420,1.38,1,1,1,1,1
601,125,300,8702,1.51,0,0,1,0,1
602,279,300,5816,1.8,1,0,0,0,1
