sample_id,roads_needing_repair,water_supply_level,sewer_system_health,emergency_response_time,pending_maintenance_tasks
67,34,96.59,85.18,12.06,10
68,30,42.49,71.06,19.43,55
69,39,40.23,72.01,17.45,25
70,40,89.08,97.28,6.14,67
71,39,67.79,99.48,21.76,31
72,20,59.1,79.6,16.07,13
73,19,69.49,64.45,8.84,49
74,40,34.02,78.06,14.74,10
75,33,22.96,99.34,19.07,27
76,37,46.98,76.42,11.02,57
77,19,22.11,82.42,19.03,36
78,29,91.39,70.04,9.73,32
79,50,28.55,98.39,8.49,23
80,43,35.46,93.52,8.66,63
81,33,35.93,67.67,13.69,69
82,14,35.24,67.75,18.83,11
83,34,75.14,90.01,21.27,31
84,22,37.77,80.8,16.95,57
85,31,76.44,99.2,16.22,10
86,34,46.5,90.03,21.39,51
87,20,30.91,97.27,5.22,53
88,38,52.04,73.88,8.45,47
89,29,69.03,89.73,6.65,59
90,37,95.65,86.98,23.27,27
91,33,58.07,95.72,23.83,13
92,6,28.9,71.92,7.96,68
93,27,33.53,82.22,22.71,36
94,24,97.96,70.8,8.98,11
95,8,97.72,71.06,18.17,59
96,17,77.72,95.79,22.83,12
97,23,53.9,63.1,16.03,31
98,38,27.54,95.19,14.17,30
99,28,32.85,94.96,5.97,32
100,22,34.06,88.0,14.99,18
101,24,22.71,79.18,5.03,64
102,40,36.93,75.99,18.79,25
103,15,39.19,82.31,15.7,26
104,17,61.34,89.49,22.62,36
105,32,63.36,91.38,12.78,35
106,10,88.47,65.66,6.37,67
107,27,97.18,83.36,13.59,56
108,10,85.62,84.59,18.24,59
109,5,64.3,96.99,9.26,66
110,35,94.08,68.95,11.57,37
111,35,91.41,71.66,10.67,34
112,39,52.46,73.65,15.51,54
113,20,71.57,95.66,12.57,57
114,46,34.12,93.78,13.45,61
115,19,61.8,69.16,20.82,67
116,43,73.34,85.99,5.13,60
117,42,55.28,97.57,19.24,13
118,35,55.26,66.58,20.79,39
119,31,52.66,98.34,10.44,68
120,47,90.72,74.55,21.12,70
121,45,85.76,65.23,21.24,57
122,37,31.51,92.89,17.65,44
123,24,75.17,78.8,20.7,55
124,32,87.89,76.71,14.7,27
125,28,48.06,91.96,8.5,55
126,10,86.25,75.56,15.52,32
127,45,34.61,64.04,5.73,46
128,37,73.79,60.19,24.85,52
129,21,86.3,67.03,17.28,35
130,41,51.46,75.77,14.09,19
131,20,77.77,76.42,12.9,57
132,35,77.02,97.74,16.57,42
133,27,70.11,62.73,21.1,36
134,46,49.31,83.91,23.47,43
135,32,77.39,92.43,15.92,50
136,36,20.56,99.31,6.76,31
137,50,57.92,75.43,18.96,13
138,30,62.79,68.89,24.57,33
139,38,41.83,97.97,11.11,58
140,20,60.23,86.69,15.25,35
141,30,74.18,85.79,10.41,66
142,24,74.74,88.3,8.85,14
143,45,78.24,68.24,9.89,23
144,42,25.54,82.9,10.76,27
145,42,36.15,87.98,5.37,15
146,39,46.6,64.42,9.62,51
147,19,55.65,92.95,16.1,35
148,38,86.23,79.37,5.19,13
149,25,84.6,73.35,10.27,14
150,22,73.42,93.13,12.66,59
151,27,65.38,88.25,10.78,20
152,41,52.28,79.41,11.14,35
153,45,77.87,81.5,14.53,66
154,37,47.96,99.33,17.97,23
155,49,51.39,94.06,15.86,34
156,45,81.86,67.28,19.05,55
157,49,53.33,75.75,10.21,10
158,15,71.05,71.01,11.93,22
159,49,80.67,77.72,12.28,52
160,12,71.0,84.05,12.98,54
161,47,99.08,91.1,20.29,23
162,18,39.72,99.55,15.75,14
163,47,60.45,90.11,20.66,14
164,19,29.17,92.1,10.68,28
165,18,36.96,60.63,8.65,45
166,22,64.85,81.71,5.54,46
167,29,44.8,67.69,10.69,67
168,50,58.8,90.16,21.63,61
169,16,29.61,97.74,6.18,44
170,48,71.6,83.11,13.81,57
171,15,49.56,83.88,7.8,56
172,7,89.49,72.01,15.5,64
173,25,96.08,79.05,22.94,33
174,45,24.02,68.93,9.11,64
175,17,28.62,70.9,13.74,33
176,16,57.03,61.68,15.11,22
177,44,29.91,62.22,9.37,46
178,28,60.23,94.0,14.27,15
179,20,26.7,67.15,10.11,15
180,23,80.96,86.49,18.78,53
181,23,42.92,73.59,23.18,37
182,19,73.21,99.32,19.18,53
183,18,87.39,80.11,13.9,50
184,43,77.42,61.26,23.21,20
185,27,96.67,63.93,10.93,47
186,30,64.68,95.8,17.45,14
187,50,59.93,90.45,7.25,29
188,29,70.95,68.31,12.22,34
189,30,36.93,80.02,7.42,53
190,49,76.33,87.82,11.87,17
191,33,28.53,69.58,7.72,39
192,42,39.25,85.67,7.38,18
193,46,25.22,75.44,24.32,46
194,9,92.75,62.59,10.63,25
195,12,37.71,75.91,5.48,61
196,31,26.43,66.8,21.23,29
197,42,28.48,93.92,19.59,24
198,12,73.37,63.66,22.72,51
199,23,20.3,83.74,18.95,40
200,7,93.91,81.25,12.65,48
201,18,33.41,98.8,17.03,14
202,50,90.22,79.64,11.66,57
203,21,88.06,72.47,15.99,23
204,6,22.8,66.09,21.29,39
205,11,36.11,76.86,16.54,60
206,27,53.53,73.01,20.04,54
207,49,67.4,84.82,23.4,18
208,38,33.11,78.3,14.14,65
209,33,77.55,90.23,11.55,41
210,12,25.63,75.32,20.25,33
211,15,26.81,68.31,5.94,52
212,16,72.8,73.07,21.62,60
213,12,43.02,61.04,16.54,53
214,39,48.24,93.39,11.39,53
215,16,71.07,78.44,14.72,22
216,21,41.15,91.5,17.0,13
217,16,65.27,83.67,15.82,59
218,8,74.07,95.26,7.67,54
219,23,46.61,77.23,17.81,62
220,34,47.0,75.78,24.25,43
221,38,43.95,61.4,6.39,28
222,11,68.19,96.52,23.7,40
223,36,45.63,72.25,21.33,64
224,9,26.53,73.22,5.96,22
225,37,75.77,80.55,10.11,23
226,22,20.65,83.38,8.66,29
227,45,77.4,92.72,8.42,17
228,32,53.53,61.29,14.45,50
229,14,89.23,98.44,10.11,61
230,26,50.04,75.38,23.37,52
231,45,42.91,96.15,24.1,62
232,7,74.18,84.5,16.3,33
233,31,85.58,66.69,17.76,15
234,10,73.35,62.71,7.43,23
235,6,49.54,86.1,12.02,17
236,34,84.79,97.96,13.33,61
237,45,24.13,72.27,8.52,16
238,10,75.42,87.55,24.05,47
239,27,91.44,77.84,22.18,59
240,29,24.72,84.47,13.17,31
241,31,24.47,80.84,22.3,45
242,30,94.38,86.18,21.67,35
243,48,97.11,72.16,21.19,40
244,20,72.62,81.44,5.09,68
245,38,28.68,98.58,18.0,19
246,32,97.2,93.26,15.74,26
247,35,96.84,97.57,12.46,61
248,37,75.79,88.29,11.36,26
249,29,92.05,69.43,6.14,17
250,14,43.89,99.15,22.32,39
251,35,64.23,76.34,21.32,40
252,16,39.71,65.28,6.55,43
253,49,97.31,83.82,8.59,60
254,46,31.04,95.37,15.72,34
255,11,79.79,92.96,9.66,36
256,20,74.04,73.48,20.31,41
257,46,21.71,60.25,5.27,47
258,40,90.03,83.86,19.39,26
259,37,28.6,80.5,9.06,50
260,10,57.67,70.2,5.4,19
261,11,93.83,78.74,19.63,24
262,33,27.13,69.56,20.65,58
263,35,94.02,92.68,12.76,49
264,44,58.06,87.77,16.84,31
265,40,23.08,66.48,15.41,28
266,28,25.87,74.25,11.13,12
267,47,92.89,62.4,8.39,40
268,13,71.59,73.69,18.16,29
269,20,71.0,81.35,23.28,60
270,36,30.09,62.64,5.33,19
271,45,43.0,78.33,24.43,40
272,12,49.97,71.44,10.26,62
273,24,36.51,76.97,7.29,22
274,23,45.18,62.89,21.8,24
275,22,44.47,75.35,17.5,50
276,36,37.66,61.28,10.5,63
277,26,96.14,77.43,24.59,25
278,35,22.14,62.32,5.31,10
279,46,49.73,60.66,23.18,66
280,12,57.85,96.59,10.69,30
281,11,48.83,72.44,17.22,35
282,20,69.29,98.91,5.85,40
283,37,26.22,97.99,11.94,66
284,36,52.85,81.13,10.26,18
285,39,27.86,83.46,8.93,68
286,21,25.72,98.24,7.62,60
287,34,81.16,97.64,15.44,56
288,42,89.25,90.51,22.44,63
289,15,81.73,69.56,8.04,23
290,7,49.89,98.5,22.49,49
291,49,93.92,77.38,5.15,57
292,28,50.02,70.34,6.36,27
293,39,48.76,91.88,22.17,53
294,6,95.66,79.41,15.54,41
295,12,61.72,93.09,24.23,57
296,9,44.4,62.48,6.66,13
297,16,74.04,86.74,5.31,35
298,26,82.82,62.61,16.23,27
299,35,37.75,74.59,5.79,28
300,9,69.86,66.02,15.46,56
301,21,52.76,68.09,22.56,32
302,34,88.57,79.42,8.98,42
303,37,56.72,75.07,22.78,23
304,9,65.46,83.88,10.22,34
305,38,88.59,82.5,10.08,34
306,41,68.97,70.56,11.31,44
307,13,39.01,86.71,21.51,33
308,40,40.91,65.15,24.27,17
309,48,34.21,62.62,15.03,30
310,31,51.76,78.74,8.78,19
311,48,29.47,69.92,24.42,65
312,20,82.32,71.4,20.67,28
313,43,96.9,90.26,18.28,38
314,23,63.16,72.31,16.41,56
315,8,36.44,65.87,9.21,47
316,31,42.88,81.68,6.37,51
317,14,89.84,89.84,17.72,62
318,48,66.02,70.42,5.76,37
319,13,88.12,81.32,14.81,34
320,25,86.37,69.22,7.13,32
321,28,49.98,70.25,21.46,55
322,50,36.39,93.76,17.5,38
323,31,96.1,89.39,23.07,35
324,44,26.27,61.03,13.91,41
325,46,24.34,65.63,19.31,21
326,50,82.72,63.05,11.34,31
327,22,25.66,61.85,18.73,49
328,37,87.5,81.64,5.72,55
329,29,60.26,88.86,15.5,66
330,35,99.55,70.34,15.07,40
331,11,86.59,71.74,7.78,24
332,50,26.83,92.1,23.33,31
333,12,67.76,63.31,15.05,19
334,24,40.35,80.12,5.44,48
335,22,23.21,95.14,22.45,68
336,28,38.7,61.6,6.41,22
337,23,66.71,68.51,13.88,47
338,47,82.03,83.13,16.79,54
339,20,25.35,63.6,8.56,38
340,33,55.48,96.94,18.35,35
341,45,23.71,76.24,24.89,62
342,36,71.86,95.55,14.38,50
343,35,73.71,86.6,5.13,20
344,25,62.32,85.08,11.73,43
345,6,91.82,91.02,24.62,36
346,9,37.8,94.6,19.57,35
347,19,61.79,66.13,10.67,12
348,39,24.89,86.87,14.51,40
349,48,73.77,80.7,6.27,48
350,38,45.2,90.41,13.68,48
351,23,47.71,91.63,21.56,40
352,9,47.04,67.66,13.21,70
353,33,61.66,92.27,14.97,36
354,26,49.93,97.42,22.86,68
355,7,39.56,96.46,8.28,61
356,19,54.16,87.63,15.44,57
357,10,91.72,79.82,14.07,39
358,12,64.37,81.14,22.63,35
359,15,48.99,69.65,13.31,14
360,50,42.18,93.73,22.25,69
361,27,35.88,95.8,13.21,10
362,41,21.64,78.78,22.23,23
363,37,31.34,71.65,15.6,70
364,37,58.79,77.5,9.32,26
365,18,83.12,63.16,12.31,15
366,46,41.53,94.33,9.74,38
367,30,60.9,66.55,10.46,57
368,37,62.82,98.98,6.51,69
369,15,88.05,73.03,22.03,40
370,45,64.09,69.77,15.36,70
371,50,56.52,67.28,18.48,51
372,44,48.84,90.41,17.75,17
373,42,34.92,62.88,11.75,46
374,22,42.59,65.51,15.62,69
375,11,98.04,61.72,18.26,61
376,22,82.69,99.87,23.94,36
377,26,98.09,74.34,18.88,66
378,23,79.02,83.01,10.58,15
379,34,34.94,61.11,21.51,37
380,16,36.4,72.52,19.12,22
381,42,79.13,66.25,14.96,59
382,25,33.89,81.13,20.25,53
383,48,88.28,87.01,12.07,25
384,19,82.69,88.66,23.42,40
385,10,66.35,89.55,8.65,17
386,33,35.97,90.26,18.91,15
387,40,53.76,96.46,17.43,46
388,12,88.39,77.75,16.97,32
389,11,39.84,98.16,17.38,14
390,8,21.33,70.6,19.77,19
391,10,90.14,74.16,23.4,46
392,50,71.17,94.41,21.03,66
393,19,48.86,89.88,9.12,16
394,20,22.2,93.07,13.2,35
395,12,57.78,71.24,18.01,10
396,23,44.78,65.39,13.75,41
397,12,54.27,75.28,16.87,38
398,14,32.49,86.9,14.44,34
399,25,92.1,81.73,11.72,50
400,12,71.89,85.74,23.59,53
401,44,70.67,67.42,5.22,63
402,15,75.12,68.29,20.08,21
403,44,54.65,81.82,16.39,49
404,17,30.18,66.12,7.83,31
405,47,68.16,82.88,19.18,46
406,34,56.04,64.38,13.76,56
407,15,54.31,98.53,8.48,40
408,48,88.82,80.96,8.59,21
409,13,79.84,86.77,11.79,55
410,50,82.81,97.56,5.99,50
411,30,76.14,95.04,5.86,42
412,44,96.68,77.59,14.75,27
413,33,81.94,93.83,16.23,69
414,32,76.61,84.95,22.25,41
415,33,53.3,99.05,15.66,52
416,41,95.14,99.2,19.69,12
417,30,23.25,82.49,18.04,20
418,19,64.51,88.91,24.97,44
419,28,43.82,60.9,7.04,49
420,14,52.14,61.95,24.31,65
421,14,71.37,66.19,10.05,40
422,29,82.54,83.59,10.34,42
423,42,97.37,77.72,24.62,53
424,6,51.1,88.21,18.52,39
425,24,42.6,73.82,6.16,22
426,36,37.17,89.52,6.83,28
427,37,27.17,83.09,7.93,50
428,8,88.48,82.99,7.64,70
429,32,98.59,85.82,15.52,18
430,14,88.73,80.35,14.01,47
431,31,91.83,86.38,10.47,65
432,11,33.59,90.1,15.28,17
433,28,96.36,65.38,24.15,40
434,40,47.69,73.66,19.56,26
435,5,98.04,71.96,22.35,54
436,43,90.34,62.02,13.14,52
437,29,84.12,89.13,17.35,30
438,43,56.34,97.87,7.53,35
439,10,30.27,82.94,16.4,26
440,20,60.78,93.87,13.53,25
441,9,34.1,99.86,21.54,66
442,47,32.02,73.67,17.6,22
443,19,42.47,91.27,22.24,40
444,46,63.02,99.06,10.72,33
445,15,51.82,75.87,19.22,70
446,27,25.67,86.12,21.98,49
447,14,82.43,60.91,18.75,42
448,29,56.8,96.12,21.27,62
449,28,82.95,93.98,14.55,48
450,22,22.01,85.01,16.29,69
451,26,94.05,72.54,17.77,66
452,13,67.23,86.61,16.31,37
453,42,79.5,86.31,6.58,12
454,24,41.77,97.37,5.49,16
455,7,83.75,88.35,7.95,41
456,29,82.05,64.33,6.87,40
457,33,71.79,69.77,11.26,61
458,29,21.49,66.97,16.0,54
459,14,92.37,95.44,20.51,33
460,19,90.67,63.67,22.81,26
461,42,30.13,95.61,13.05,27
462,48,84.53,83.35,16.53,30
463,15,50.12,77.63,18.63,20
464,28,26.87,67.72,22.37,40
465,13,97.7,98.17,24.07,47
466,28,36.91,63.85,23.63,46
467,38,31.08,88.08,18.84,32
468,14,58.65,94.51,21.01,44
469,10,63.84,75.88,9.44,45
470,19,56.33,63.83,11.92,57
471,25,69.09,64.44,10.87,50
472,48,82.39,83.89,10.82,26
473,20,85.67,84.67,13.71,58
474,46,63.33,69.61,16.66,52
475,42,65.88,70.98,17.32,70
476,18,68.02,88.66,7.24,34
477,5,29.0,73.06,19.34,34
478,33,62.87,65.95,17.92,12
479,15,96.31,90.65,10.23,16
480,35,97.93,69.56,13.53,58
481,39,50.99,93.15,21.84,45
482,45,51.04,77.62,22.41,51
483,43,43.69,98.22,17.94,26
484,27,51.42,69.5,5.99,62
485,40,41.2,73.84,20.73,20
486,35,28.03,96.84,22.17,31
487,31,49.35,95.48,10.09,38
488,30,86.07,79.27,13.52,65
489,11,72.29,81.34,23.85,26
490,39,85.67,90.24,15.72,32
491,37,52.29,99.46,10.21,24
492,48,34.42,96.84,23.98,19
493,33,50.07,68.33,19.7,62
494,7,29.0,86.13,18.1,46
495,9,88.07,61.39,9.46,51
496,14,41.9,92.93,21.33,59
497,31,38.95,77.54,14.61,57
498,38,30.67,98.88,15.09,59
499,15,35.42,81.71,16.6,41
500,15,39.27,88.49,8.53,14
501,40,42.8,74.54,8.09,35
502,26,51.29,69.67,16.56,13
503,5,92.1,67.56,7.17,59
504,28,36.02,83.0,17.3,32
505,29,37.21,60.91,5.19,69
506,32,73.83,66.13,24.47,22
507,47,31.01,77.24,6.5,56
508,9,75.34,79.53,10.73,48
509,31,61.73,89.53,20.73,40
510,26,96.49,83.84,6.16,28
511,50,41.32,61.72,11.1,10
512,50,32.63,72.5,9.56,38
513,7,39.04,78.49,21.68,42
514,40,21.73,80.66,5.88,42
515,35,95.44,90.63,15.86,70
516,25,59.53,95.67,8.82,62
517,5,43.43,70.08,19.1,29
518,5,25.51,90.73,15.08,19
519,6,32.84,88.45,14.25,21
520,50,47.82,82.73,21.63,32
521,15,70.92,75.47,11.4,12
522,20,55.29,83.51,9.62,45
523,12,62.91,97.28,11.82,19
524,22,36.07,89.29,22.24,19
525,37,39.49,99.85,22.15,59
526,28,49.05,81.2,6.19,30
527,16,79.93,97.0,7.61,19
528,45,74.81,92.36,24.61,48
529,15,51.16,64.83,14.52,34
530,16,98.59,88.16,16.83,24
531,24,98.68,92.54,13.54,69
532,16,21.85,73.13,18.2,31
533,9,29.31,68.71,21.33,40
534,38,89.25,71.17,17.15,28
535,27,85.39,73.95,6.45,61
536,42,29.18,81.38,24.42,36
537,34,58.28,80.76,8.46,37
538,17,71.6,60.84,9.76,10
539,23,40.34,71.86,12.37,28
540,20,94.79,85.29,12.72,57
541,31,31.25,68.7,6.04,16
542,12,64.94,94.98,7.14,49
543,18,69.59,99.2,22.13,30
544,25,56.27,94.52,19.81,25
545,20,65.65,65.53,24.04,12
546,43,55.64,66.61,16.14,26
547,23,23.82,74.18,6.07,27
548,50,75.35,73.86,15.02,40
549,9,94.05,73.94,20.22,20
550,12,83.82,69.82,19.46,56
551,25,71.35,60.61,11.48,58
552,36,71.57,97.43,6.51,53
553,36,27.81,76.73,14.34,53
554,32,33.87,63.89,18.26,35
555,25,26.33,89.19,21.25,31
556,24,54.01,82.38,11.52,28
557,42,38.18,80.5,5.47,28
558,44,22.23,68.38,22.74,32
559,45,23.39,85.92,9.68,16
560,33,27.62,94.55,20.74,47
561,37,84.4,74.61,17.41,70
562,14,78.01,64.3,24.05,65
563,39,70.17,98.36,9.86,62
564,17,36.23,68.97,19.33,26
565,13,98.27,61.09,17.7,12
566,20,23.05,86.94,24.63,70
567,37,91.23,62.91,7.61,47
568,11,98.16,63.5,13.2,49
569,15,49.15,61.56,23.2,12
570,39,32.01,71.46,12.7,36
571,19,44.2,84.12,6.91,39
572,32,85.98,93.83,23.48,70
573,7,30.91,62.77,21.2,38
574,50,72.72,60.37,9.4,37
575,21,29.54,83.05,5.7,61
576,13,60.52,99.68,12.37,49
577,49,79.03,79.14,18.56,61
578,17,65.5,60.74,6.06,50
579,9,62.45,95.59,24.55,68
580,41,50.09,90.96,19.53,16
581,9,93.79,69.18,15.66,45
582,32,54.02,67.47,18.61,63
583,5,21.18,64.47,14.99,27
584,47,99.72,79.42,14.42,68
585,27,84.01,96.43,18.74,33
586,35,69.69,64.15,22.44,53
587,25,80.47,79.41,9.59,66
588,25,97.04,69.03,5.8,13
589,27,99.32,85.14,14.32,68
590,6,28.41,96.76,7.53,55
591,36,83.15,74.18,10.45,28
592,32,55.53,85.0,7.58,27
593,35,67.86,77.9,10.64,66
594,27,72.51,85.28,19.1,70
595,34,24.73,65.14,17.38,35
596,34,66.86,67.16,19.24,27
597,31,94.23,70.36,7.45,54
598,29,24.95,66.6,7.67,43
599,18,39.51,78.4,13.69,15
600,49,30.64,79.48,16.12,28
601,6,42.99,87.79,9.82,24
602,35,56.63,95.48,11.23,55
603,8,73.76,63.45,22.93,57
604,12,62.76,92.01,12.51,56
605,49,47.04,97.05,14.65,14
606,29,33.32,93.92,16.67,43
607,31,49.75,91.7,12.2,18
608,46,84.04,78.4,8.86,49
609,42,96.85,93.79,17.21,46
610,35,24.09,82.5,16.8,44
611,20,26.74,93.28,12.4,66
612,11,67.47,94.15,23.54,11
613,34,70.86,96.04,10.49,30
614,35,66.05,89.85,15.81,25
615,45,30.97,60.36,22.04,50
616,11,36.57,63.56,19.97,27
617,12,65.59,94.41,23.08,25
618,9,70.92,88.5,15.92,47
619,7,79.32,95.55,23.42,43
620,44,88.27,87.06,17.29,32
621,27,25.32,87.21,12.1,65
622,7,22.07,96.87,18.53,18
623,10,94.45,80.1,7.89,39
624,33,37.46,85.9,19.43,68
625,35,94.94,93.52,12.4,68
626,34,36.5,75.74,14.21,22
627,31,90.38,97.01,7.04,44
628,48,33.49,76.26,24.7,68
629,11,32.45,91.4,14.87,58
630,49,72.21,81.04,13.76,68
631,33,75.35,98.42,9.19,24
632,24,41.93,81.04,9.8,39
633,26,26.13,72.69,17.82,43
634,41,83.02,99.0,8.74,47
635,19,30.24,96.36,6.95,44
636,23,86.13,61.54,23.24,12
637,9,84.02,65.28,15.33,59
638,14,21.25,94.02,15.97,29
639,45,76.22,64.19,19.42,10
640,37,65.99,86.75,17.37,52
641,10,21.13,82.04,13.29,62
642,39,29.79,84.85,18.52,16
643,19,28.79,79.61,11.66,12
644,29,69.83,87.83,12.98,25
645,27,29.57,95.58,13.55,26
646,49,94.93,62.8,23.18,58
647,6,72.21,90.76,19.38,23
648,25,86.87,82.27,22.13,13
649,30,42.71,83.9,13.92,64
650,37,78.64,75.22,21.88,52
651,44,47.98,97.16,23.22,14
652,20,23.47,89.02,16.93,66
653,27,87.54,86.09,24.16,55
654,48,97.93,75.33,9.93,15
655,14,57.89,88.85,12.14,65
656,47,65.47,92.79,21.84,50
657,31,66.0,74.85,13.24,13
658,7,53.76,78.29,5.09,55
659,41,24.26,75.6,19.42,32
660,46,63.87,99.42,14.92,54
661,31,82.61,92.87,21.21,57
662,24,47.0,99.86,15.01,25
663,20,49.98,69.12,7.2,53
664,25,66.08,80.28,5.98,53
665,31,80.25,63.72,19.12,43
666,21,33.18,86.7,18.09,70
667,17,92.63,73.96,13.15,39
668,18,61.79,72.24,7.77,51
669,21,57.19,82.2,13.2,28
670,42,28.11,75.16,18.17,43
671,21,60.17,63.24,15.26,42
672,26,22.26,69.73,5.25,61
673,43,68.39,70.03,22.35,24
674,12,44.92,72.03,15.87,46
675,46,60.97,66.37,24.61,12
676,17,76.72,94.63,14.01,30
677,41,55.94,83.64,7.35,31
678,46,79.79,83.9,18.03,32
679,5,65.95,91.03,11.49,42
680,5,85.3,68.43,19.19,36
681,45,42.61,97.45,20.47,31
682,38,38.63,92.99,13.35,20
683,46,79.25,73.72,10.4,70
684,21,26.19,70.16,14.76,66
685,33,81.99,99.05,20.75,19
686,35,55.97,92.96,23.76,11
687,49,85.11,61.58,24.9,43
688,47,28.85,68.43,6.15,38
689,34,39.12,69.86,5.42,46
690,39,31.92,75.62,16.35,62
691,42,81.99,86.08,22.76,53
692,22,48.26,83.15,6.35,67
693,39,35.45,62.58,22.04,14
694,11,22.69,83.65,23.46,11
695,44,69.31,95.38,7.27,56
696,11,95.47,77.2,15.15,37
697,43,47.42,69.03,17.74,12
698,28,49.03,66.89,13.91,44
699,24,37.45,70.71,17.37,69
700,11,75.02,68.31,24.54,30
701,16,73.97,65.97,8.15,39
702,49,73.28,73.07,20.26,43
703,28,57.02,79.49,20.61,60
704,6,47.84,90.22,21.71,41
705,5,95.83,70.2,10.81,21
706,10,92.03,80.15,24.96,47
707,48,46.47,67.76,14.16,13
708,38,61.05,69.12,6.01,68
709,5,49.43,98.08,11.97,52
710,17,95.62,99.28,16.24,29
711,24,20.07,80.87,15.0,36
712,22,95.21,99.07,17.96,61
713,47,98.02,85.99,18.01,51
714,39,45.35,64.04,24.81,51
715,25,53.1,90.32,18.39,44
716,48,81.56,83.01,19.83,41
717,17,88.13,79.39,7.28,36
718,35,78.27,75.92,12.31,46
719,18,98.56,98.49,13.53,33
720,10,86.29,88.28,16.85,13
721,11,22.25,85.75,22.62,65
722,24,29.52,69.34,15.37,16
723,20,71.84,93.0,13.91,43
724,5,29.85,73.82,23.27,66
725,26,25.63,91.48,17.07,67
726,30,59.67,89.51,5.94,51
727,16,95.22,60.94,19.57,65
728,34,97.29,71.75,9.0,61
729,46,72.33,97.27,9.42,16
730,35,70.41,96.66,8.42,33
731,13,82.15,86.36,12.39,20
732,28,90.87,89.45,20.35,14
733,19,50.8,91.81,13.51,61
734,11,63.77,66.65,12.11,12
735,42,40.59,94.11,9.3,58
736,22,57.3,96.39,22.78,20
737,27,41.67,70.5,5.67,46
738,34,67.97,94.67,23.01,68
739,15,61.19,94.14,11.69,43
740,14,28.69,83.8,19.51,58
741,13,90.71,96.81,6.79,28
742,23,98.18,64.36,15.82,58
743,45,59.72,66.57,7.68,56
744,45,72.5,91.43,24.9,18
745,40,55.0,72.06,16.96,15
746,40,61.7,91.6,12.87,68
747,7,74.57,92.01,15.29,46
748,24,94.24,75.78,13.82,13
749,39,97.53,78.14,16.08,10
750,7,64.3,92.08,17.73,65
751,46,85.47,80.61,19.98,29
752,32,50.12,99.58,8.31,44
753,11,88.65,84.01,7.17,49
754,17,85.39,97.39,6.19,48
755,9,91.31,91.15,17.87,68
756,17,69.69,74.64,9.19,26
757,31,83.43,90.95,13.68,68
758,6,54.06,72.65,7.34,29
759,35,90.96,74.26,7.68,63
760,13,41.63,98.56,12.79,50
761,6,74.37,92.65,22.73,18
762,24,73.2,95.55,12.29,25
763,36,92.75,95.59,17.6,51
764,23,23.69,84.93,17.23,43
765,35,66.86,66.37,6.66,37
766,43,32.43,89.37,16.23,18
767,16,93.0,93.52,18.93,48
768,43,80.42,84.11,5.51,29
769,26,66.98,89.89,6.71,20
770,39,63.27,75.69,15.51,35
771,24,67.79,79.29,17.17,20
