sample_id,current_usage_mw,avg_usage_last_year,peak_demand_mw,grid_stability,renewable_percentage
113,1006.64,755.94,1464.29,91.88,22.71
114,911.99,782.68,1265.97,83.34,33.77
115,1075.03,782.98,1198.62,87.8,29.2
116,945.66,777.16,1242.14,81.97,21.51
117,1172.0,903.04,1422.5,87.11,23.77
118,992.88,829.28,1137.43,99.48,27.81
119,624.45,785.87,911.12,92.88,34.55
120,948.24,863.08,1141.09,98.53,25.78
121,1170.97,854.67,1311.48,84.25,38.31
122,993.07,936.63,1277.64,96.35,30.34
123,1288.7,1044.48,1334.0,99.2,28.51
124,1058.86,835.45,1042.04,87.94,22.65
125,1260.14,708.47,994.26,91.32,28.42
126,719.46,1016.57,1180.34,94.8,25.47
127,1201.96,898.77,1088.04,89.37,10.06
128,633.34,830.21,1241.88,84.99,13.86
129,1057.67,962.39,1049.16,80.44,24.09
130,931.5,790.25,1098.04,83.85,20.26
131,774.42,1012.7,1483.53,76.41,32.02
132,731.96,783.81,1101.56,92.76,16.35
133,632.88,1036.97,1329.08,86.49,16.93
134,1290.67,885.02,1446.54,94.51,16.18
135,1108.5,1076.85,997.5,93.37,21.12
136,757.04,1075.2,1257.39,75.17,38.56
137,706.86,877.59,1041.85,95.29,30.25
138,1293.44,1053.68,979.48,80.65,17.28
139,920.69,796.58,1371.1,95.7,19.95
140,992.5,807.76,1467.21,83.28,20.66
141,1064.08,1058.36,978.27,85.78,20.54
142,1230.57,778.72,1239.42,77.98,16.17
143,976.8,803.24,1371.78,75.85,25.03
144,664.75,876.85,1445.1,92.24,15.12
145,1094.64,740.64,1045.45,80.1,21.63
146,948.39,865.33,1390.76,87.25,29.19
147,875.64,817.21,1086.79,82.47,21.43
148,1263.32,985.0,1378.24,97.08,19.91
149,966.25,867.23,1295.34,91.06,19.55
150,730.03,1055.34,1174.78,99.22,17.65
151,666.98,1003.68,1457.76,85.78,24.27
152,1219.75,933.14,1040.23,85.14,39.31
153,724.56,939.28,926.37,82.79,26.69
154,927.24,870.1,908.4,82.13,33.44
155,901.52,761.11,1243.72,80.41,17.67
156,617.19,852.71,1380.87,80.39,26.87
157,617.6,952.76,915.83,95.99,21.7
158,1195.26,870.67,968.74,99.02,26.98
159,986.92,1091.07,1176.13,90.4,38.23
160,726.3,864.75,1309.57,96.6,37.46
161,605.48,1099.02,962.65,80.79,18.65
162,1039.69,918.25,1468.54,94.9,28.61
163,1093.21,1023.49,1373.0,89.96,13.96
164,1203.9,745.33,1492.12,80.76,37.7
165,965.93,808.46,1026.36,95.0,31.61
166,812.2,940.5,1235.11,79.19,28.76
167,755.38,1094.62,961.75,79.69,26.67
168,865.14,1064.55,1107.66,82.36,20.61
169,607.23,965.32,1412.13,75.38,31.58
170,1178.04,831.87,1232.21,95.25,15.5
171,1184.87,1088.25,1118.15,79.44,35.36
172,929.63,720.96,1157.59,95.89,24.44
173,754.9,891.1,1498.87,79.26,17.84
174,1195.9,1045.36,925.33,97.43,35.9
175,1189.54,1049.28,1032.56,99.1,18.7
176,1053.15,927.55,1220.18,91.07,10.62
177,612.59,1083.48,1105.24,96.07,27.25
178,1137.26,965.69,1405.14,94.01,24.67
179,979.25,784.39,1027.65,78.21,36.89
180,1119.7,810.22,954.67,84.63,33.11
181,788.74,808.59,1474.0,80.39,35.62
182,987.74,894.58,1184.51,88.99,38.26
183,649.51,990.07,1169.74,86.26,13.28
184,894.14,1048.72,1294.03,85.95,11.17
185,774.03,905.95,1349.41,94.49,22.08
186,990.74,1033.01,1429.11,83.65,30.07
187,675.17,1069.35,1283.48,80.77,32.19
188,883.61,935.26,1163.91,79.92,20.64
189,845.37,751.25,1320.96,82.76,37.96
190,906.11,763.56,1360.33,92.69,11.44
191,1149.18,709.7,1410.82,86.25,17.45
192,663.11,900.86,944.74,78.44,24.48
193,947.78,705.31,1032.18,87.91,13.33
194,683.46,996.63,1375.48,75.2,16.01
195,1093.29,912.43,960.46,93.06,24.62
196,674.95,1032.73,1168.35,89.85,32.1
197,677.88,1048.97,1259.88,94.13,11.29
198,1001.86,851.97,1482.33,83.28,17.35
199,758.58,741.8,1296.22,93.3,20.04
200,644.52,1017.06,1313.97,80.35,11.35
201,948.68,827.32,975.7,87.9,14.47
202,1164.99,1055.44,1331.79,93.87,18.92
203,700.99,912.56,1259.76,84.51,18.71
204,726.22,900.46,1374.13,81.74,26.23
205,828.67,936.45,1294.01,97.92,26.19
206,982.92,781.24,1292.89,87.34,17.1
207,766.4,710.01,1466.85,95.46,35.04
208,871.07,1077.12,1403.73,82.62,10.62
209,797.48,797.91,1417.19,90.86,24.93
210,948.8,776.18,1272.67,79.99,13.98
211,1229.16,810.02,1178.01,82.44,38.91
212,764.35,729.07,1315.22,77.53,36.45
213,674.17,1049.73,1479.22,75.63,25.35
214,1133.26,943.3,1086.37,82.38,19.1
215,788.11,964.61,1427.57,81.21,33.01
216,1035.25,922.92,1441.85,86.92,20.17
217,1197.54,965.82,1047.92,86.56,38.21
218,1060.51,702.55,1034.5,80.29,27.99
219,1010.05,900.18,1267.18,82.81,14.15
220,1184.0,757.46,1038.31,84.74,35.41
221,705.51,835.51,1378.91,80.29,25.79
222,1023.53,1087.85,1327.84,84.58,25.91
223,1128.13,740.98,912.79,75.96,25.9
224,1280.71,1091.96,961.36,79.89,22.02
225,1153.77,1036.14,1048.48,99.08,29.35
226,1029.68,1073.39,1372.61,77.26,29.45
227,769.13,734.17,975.59,76.19,37.13
228,861.25,901.21,1383.08,82.67,12.15
229,808.54,1023.96,1205.4,85.03,11.12
230,651.2,882.72,1288.45,83.05,32.27
231,823.43,1037.78,1350.13,80.5,38.53
232,1268.93,719.27,1050.85,90.27,28.48
233,798.87,769.11,931.14,93.05,11.16
234,866.17,717.64,1049.54,81.66,27.14
235,912.76,888.42,924.3,87.25,29.78
236,676.36,902.86,1332.55,95.49,22.3
237,630.61,827.65,1398.29,80.5,18.3
238,858.31,819.37,906.36,98.46,26.74
239,1055.54,973.05,1351.27,88.97,17.7
240,1102.91,1084.34,1090.15,92.92,33.64
241,1033.9,979.48,1446.33,86.86,37.24
242,725.89,746.99,1438.92,93.24,35.79
243,908.87,800.49,1471.32,81.04,26.68
244,1063.17,726.53,1297.66,99.89,25.78
245,1014.52,715.63,963.29,92.55,26.65
246,655.6,713.75,990.85,92.21,25.53
247,902.99,885.44,1256.79,94.95,25.58
248,816.01,850.65,1193.68,80.44,15.3
249,727.58,772.94,1279.6,82.88,30.38
250,1266.54,1096.15,1469.79,75.56,29.62
251,1232.85,1049.6,1051.95,94.07,25.78
252,1265.27,810.09,1338.21,85.72,21.0
253,1017.31,711.32,935.67,95.41,35.28
254,726.96,712.51,1262.55,75.89,26.67
255,810.68,702.99,1339.42,99.13,12.53
256,1057.7,1079.73,1167.04,86.9,33.28
257,1265.3,732.72,1267.84,89.42,21.47
258,1201.54,761.62,1404.11,82.01,32.43
259,787.94,982.02,974.16,97.53,10.86
260,619.01,802.07,1172.29,91.9,36.52
261,656.74,951.38,1015.44,98.13,33.34
262,651.4,1066.55,1338.0,99.15,39.18
263,1136.17,1087.24,1485.69,94.29,21.88
264,776.83,1043.72,1072.27,85.87,13.33
265,669.94,1037.89,1295.68,91.97,38.57
266,682.77,926.23,922.04,86.59,22.83
267,946.78,873.0,922.88,81.74,38.13
268,807.68,963.62,1088.41,98.89,14.13
269,1080.61,745.95,1071.23,76.93,37.33
270,927.23,873.49,1290.68,87.37,35.87
271,864.49,808.89,1305.9,84.27,12.9
272,1039.28,797.58,1374.29,81.0,20.76
273,910.1,756.98,936.29,99.43,38.12
274,701.86,827.81,1012.12,98.71,31.06
275,708.96,1098.54,1421.61,89.03,38.74
276,1013.72,869.05,1021.32,76.42,18.49
277,815.6,1082.78,1360.99,81.36,14.93
278,1099.04,726.57,1225.67,98.21,27.4
279,1212.08,812.02,1154.9,97.35,36.84
280,956.03,847.9,925.46,88.87,30.15
281,1082.42,1012.57,1296.98,81.41,26.56
282,1248.05,1022.39,1393.99,80.29,37.54
283,1035.31,839.63,976.07,92.55,20.5
284,720.16,1063.62,939.07,95.77,22.63
285,783.77,979.27,1185.62,84.21,25.05
286,1074.82,719.2,1334.88,98.83,23.46
287,675.24,726.05,998.88,92.14,20.68
288,1288.1,1053.37,1219.79,92.16,23.1
289,888.17,827.07,1156.54,85.58,35.82
290,786.31,936.8,1464.33,76.42,34.99
291,740.35,739.67,953.39,98.0,37.76
292,1262.23,1082.35,1147.84,80.62,23.92
293,756.02,872.48,1053.56,89.59,31.7
294,650.23,1098.02,1112.64,83.08,29.33
295,1172.27,750.56,1490.87,90.95,31.19
296,612.05,819.66,1498.2,79.48,32.0
297,1111.54,829.82,1224.55,87.26,35.09
298,648.33,977.66,921.49,88.97,22.74
299,659.23,773.32,1488.94,75.59,10.72
300,771.06,925.59,997.52,84.39,28.87
301,795.09,1075.31,1264.94,81.37,21.15
302,1124.9,728.0,1033.09,91.65,22.82
303,683.92,808.67,1263.43,93.59,16.21
304,910.15,1025.38,1320.72,78.35,30.98
305,1009.71,952.68,1438.37,82.29,18.16
306,1264.06,854.75,1102.84,99.59,21.98
307,1031.24,1035.86,977.92,83.21,22.11
308,1016.17,948.1,1452.54,90.58,20.1
309,1259.2,868.2,1239.34,82.59,20.6
310,639.46,1049.59,960.6,92.84,12.35
311,852.15,865.45,959.27,91.08,38.17
312,763.67,880.6,900.17,94.15,28.08
313,1008.03,911.56,1105.71,92.77,21.65
314,904.22,784.39,1244.32,83.29,18.43
315,825.08,793.5,1415.44,84.2,24.18
316,1011.95,973.79,1326.57,86.91,38.18
317,836.71,918.22,1220.62,95.44,19.26
318,1218.95,769.28,1352.04,99.04,17.35
319,888.82,1033.6,1356.06,83.91,31.43
320,1159.7,992.9,1157.65,86.87,36.05
321,683.06,992.49,1014.22,79.91,23.24
322,604.72,1000.69,988.76,89.83,29.64
323,661.24,1020.34,1129.95,76.5,14.84
324,871.63,1024.8,1305.01,83.21,37.85
325,625.99,866.84,903.51,78.1,37.06
326,955.22,770.1,1387.1,75.48,30.18
327,722.13,1055.19,1328.95,85.18,31.17
328,1094.74,970.14,1019.25,94.65,29.06
329,994.76,962.45,1381.21,77.95,39.22
330,838.4,831.4,1325.09,84.55,26.87
331,1133.06,1040.2,1072.16,91.97,17.46
332,903.97,713.98,913.89,79.28,20.68
333,643.37,866.46,1232.12,83.27,33.59
334,1218.22,767.28,958.0,75.69,18.59
335,948.51,809.18,1266.58,83.72,21.39
336,1183.08,1062.38,1004.2,94.19,37.91
337,818.13,918.37,1440.25,79.26,26.24
338,1228.81,1025.36,1379.59,76.83,24.76
339,913.96,1012.02,1438.48,76.55,27.37
340,1290.34,1072.59,1396.23,84.55,32.78
341,1122.88,884.44,1323.47,87.94,22.15
342,1121.61,825.46,1387.19,85.0,35.76
343,927.56,886.39,1069.4,89.34,33.65
344,1163.61,817.92,1487.63,95.48,14.82
345,1180.34,1008.03,1204.15,93.83,31.16
346,935.27,1062.94,1338.09,88.29,13.44
347,986.11,775.0,1098.36,92.52,31.82
348,626.15,925.56,1264.38,92.34,33.02
349,1224.27,1018.17,971.93,99.67,29.63
350,811.93,960.2,902.36,80.21,18.21
351,1293.08,842.67,1380.02,97.88,33.65
352,1247.28,856.62,1433.26,86.27,13.86
353,943.91,989.29,1260.09,79.16,20.79
354,629.12,1069.01,909.67,86.13,35.46
355,734.78,845.16,1265.06,88.1,28.23
356,682.05,713.39,1012.44,89.18,35.23
357,748.21,921.62,998.81,97.86,10.89
358,607.84,923.02,1283.21,84.76,38.66
359,1191.88,712.39,1451.55,85.94,20.51
360,1026.34,899.97,1144.48,84.42,29.57
361,902.2,745.21,1352.82,81.99,10.21
362,955.47,787.78,1039.27,91.13,31.95
363,1171.97,787.61,1470.84,76.36,27.33
364,1216.65,815.82,1305.15,75.36,37.84
365,620.19,710.22,944.24,78.0,19.56
366,1037.16,830.68,1312.75,90.82,15.87
367,955.07,845.36,1379.96,98.83,26.93
368,1214.61,960.77,1476.5,77.5,25.9
369,1220.47,967.64,1448.38,78.82,38.08
370,818.65,849.55,1068.1,83.71,19.34
371,615.79,744.85,1252.48,75.82,23.47
372,1052.52,722.92,1316.81,87.02,36.56
373,668.0,716.82,991.72,79.22,15.27
374,1156.28,1030.44,1094.56,79.32,21.11
375,1257.73,1013.1,1241.13,97.06,39.3
376,723.93,707.24,1495.83,79.92,29.46
377,695.33,734.64,1174.61,96.29,39.95
378,912.02,907.88,1418.89,85.44,23.68
379,959.58,741.17,1146.43,82.66,29.44
380,801.87,966.5,959.58,89.98,14.44
381,1166.9,888.18,1088.45,81.02,18.81
382,722.5,1011.69,909.15,84.71,36.14
383,698.85,735.48,902.08,85.45,30.3
384,1063.28,1049.1,1415.44,95.71,37.68
385,649.1,837.98,971.82,91.82,24.36
386,799.98,796.12,1335.29,84.04,25.59
387,1242.25,925.24,1022.16,77.94,35.55
388,826.16,848.13,1044.86,81.68,38.29
389,1006.12,712.62,1000.44,87.11,25.68
390,765.62,1090.39,906.14,76.33,11.57
391,961.65,836.45,1445.71,80.04,33.56
392,764.7,817.54,1187.44,98.45,35.08
393,1066.41,1009.39,1077.99,93.01,30.68
394,614.44,924.46,996.54,92.95,23.78
395,711.23,801.12,1052.95,93.14,29.88
396,813.31,736.24,1360.75,76.65,21.62
397,754.04,914.29,1423.33,79.68,25.63
398,872.58,1043.55,1443.58,78.18,28.32
399,706.37,700.55,1163.18,87.02,13.99
400,1182.44,887.67,1376.07,97.28,38.84
401,658.85,1020.82,1060.65,95.93,14.32
402,692.3,952.59,1384.59,87.12,20.77
403,659.94,1079.61,1334.74,86.13,17.62
404,1223.22,708.28,923.86,84.94,32.25
405,650.21,1005.87,1257.44,93.49,19.76
406,728.58,932.23,1413.29,80.82,16.85
407,887.5,989.76,956.5,88.35,24.56
408,1037.01,963.83,1440.84,82.73,31.37
409,935.27,894.47,1028.14,89.9,30.21
410,853.94,810.38,1174.52,93.57,25.67
411,986.52,822.97,1334.48,96.56,39.91
412,1219.52,742.31,997.61,78.89,22.87
413,1257.85,748.66,1398.86,92.84,38.89
414,678.07,859.67,1385.23,93.56,35.81
415,1251.24,851.03,980.86,96.96,15.0
416,1007.46,744.04,1039.54,76.86,12.06
417,949.9,927.18,1163.48,96.17,16.11
418,1072.7,939.76,930.05,76.72,26.75
419,769.3,1080.21,1412.95,97.14,11.56
420,1200.03,789.86,1074.49,77.9,12.31
421,892.97,918.63,1025.85,81.05,33.73
422,633.15,755.64,1290.26,99.4,39.48
423,625.86,985.46,1123.36,97.06,10.79
424,1132.46,760.3,1147.52,93.07,35.35
425,1108.68,710.04,1101.3,87.43,37.25
426,1059.18,1037.76,1333.89,88.47,24.17
427,1183.81,1031.49,1398.07,91.29,36.71
428,1148.4,765.76,951.63,82.23,16.34
429,944.09,866.82,1279.47,83.16,32.15
430,947.86,941.0,940.63,75.27,10.9
431,626.55,757.38,1218.23,96.18,35.53
432,1230.07,838.4,905.25,90.91,28.89
433,1044.76,911.65,1457.94,85.66,30.6
434,872.75,1032.09,1197.28,86.2,27.49
435,1189.17,1053.4,1373.13,87.92,28.59
436,683.18,911.66,1341.78,88.8,30.18
437,1011.94,843.98,1367.89,80.8,38.75
438,951.62,831.04,1420.32,96.72,29.64
439,1186.83,999.39,1141.01,93.24,33.83
440,986.37,1074.24,1028.43,87.34,27.16
441,1000.06,1054.59,1475.44,86.08,31.03
442,921.67,1064.3,1090.13,95.0,14.04
443,848.77,974.31,1268.86,77.88,29.92
444,775.85,751.9,1055.07,76.85,12.78
445,757.33,951.48,998.03,88.52,27.33
446,753.99,741.54,1166.18,86.43,10.78
447,758.83,932.21,1136.68,77.9,39.05
448,915.51,840.81,902.75,94.96,37.03
449,1137.78,946.45,1196.2,78.47,14.36
450,756.52,847.61,1188.88,86.43,17.3
451,633.05,716.42,953.0,88.54,16.69
452,892.28,830.76,1309.03,91.76,34.94
453,1259.53,764.89,1371.44,87.62,12.1
454,1184.69,1023.88,985.41,90.04,14.01
455,603.72,1001.46,1083.95,94.25,14.35
456,865.61,743.27,1303.2,81.12,35.5
457,794.91,801.05,1337.02,80.54,13.06
458,950.48,924.22,1081.36,93.84,32.35
459,1135.98,920.83,1336.53,92.93,13.44
460,1255.18,872.84,1207.22,98.51,38.6
461,749.42,1015.7,1210.3,85.8,34.52
462,1170.54,957.65,1135.88,88.36,25.39
463,858.73,928.73,1286.95,76.67,39.87
464,694.12,722.56,1248.25,86.74,36.48
465,967.01,968.02,982.49,93.1,33.61
466,1170.85,1072.28,1286.48,94.48,35.16
467,744.29,762.81,1292.47,81.6,35.93
468,1015.96,1020.65,1336.66,87.48,17.91
469,1104.98,770.2,900.1,92.28,15.44
470,1044.39,791.54,1253.26,80.83,39.59
471,1033.5,757.49,960.96,76.75,16.27
472,845.69,783.59,1436.0,97.54,25.96
473,604.39,1019.42,1240.8,78.53,19.59
474,726.33,1078.98,1345.58,88.19,15.98
475,750.44,801.07,1069.25,99.57,29.65
476,897.08,829.17,1183.6,88.5,34.26
477,1055.86,837.67,1244.73,82.67,10.66
478,845.65,914.68,988.92,80.21,24.68
479,732.6,1001.19,1148.61,90.97,21.0
480,782.58,1085.05,1335.27,85.39,19.06
481,686.96,842.36,1345.62,84.35,13.07
482,1126.18,822.02,1473.89,99.2,11.21
483,800.25,1022.69,1156.62,79.88,32.46
484,1070.27,984.04,1202.74,98.43,35.61
485,980.9,874.78,1352.07,90.77,19.25
486,1013.62,826.4,1264.4,78.01,29.96
487,639.61,943.86,961.76,88.58,17.07
488,721.22,772.58,1200.46,78.33,34.33
489,1000.43,946.73,1095.12,89.96,22.3
490,993.72,744.82,1100.05,86.03,11.81
491,1087.32,924.41,1463.65,81.6,13.27
492,762.03,1048.36,1438.12,81.01,29.73
493,1027.03,757.14,938.1,97.32,22.78
494,757.79,795.14,1252.65,83.37,29.79
495,907.24,979.3,1357.03,86.41,29.97
496,1134.51,993.15,1423.42,99.74,25.2
497,1020.77,990.83,1227.39,80.36,17.15
498,1295.42,1076.89,938.43,87.9,31.25
499,1083.22,732.36,907.52,99.44,10.11
500,786.61,787.17,1025.31,99.22,11.82
501,809.68,743.22,1300.55,85.92,32.96
502,693.77,1001.67,1438.36,94.06,19.22
503,662.9,851.96,983.38,98.42,12.49
504,1113.9,757.0,1432.29,77.37,18.78
505,779.91,969.43,1309.32,92.22,19.29
506,782.47,992.1,1240.3,92.61,30.73
507,1181.21,862.17,1097.78,99.85,13.37
508,705.31,845.03,1070.22,87.05,19.34
509,963.52,902.79,1011.13,89.14,33.51
510,627.64,991.99,1294.91,88.21,20.76
511,856.69,825.82,1176.73,96.66,14.72
512,1014.07,799.01,1498.49,88.79,25.77
513,647.74,729.15,1384.07,95.29,32.44
514,1178.34,896.32,1407.74,77.48,20.28
515,876.25,717.27,1451.62,84.38,32.22
516,1079.12,889.73,932.39,98.2,37.5
517,688.95,798.41,1253.64,92.01,17.62
518,1196.52,769.5,1334.38,81.65,25.14
519,1188.36,785.17,1144.43,77.72,18.18
520,1133.11,930.23,1430.74,91.62,36.03
521,1132.65,1018.14,1035.37,85.45,20.72
522,1005.81,795.98,1436.81,96.22,20.68
523,1162.72,980.36,1161.1,75.29,15.01
524,935.48,803.54,1008.18,80.93,38.79
525,993.59,805.81,1194.85,97.31,39.47
526,969.9,896.56,1449.91,89.42,37.61
527,1154.32,1043.26,1425.41,89.07,10.23
528,879.9,1060.71,1073.58,75.79,31.53
529,1054.67,1053.05,1292.56,77.3,33.57
530,1043.71,965.78,1059.41,94.36,10.74
531,942.67,763.17,1379.64,88.63,11.93
532,820.87,821.57,1413.39,80.48,27.91
533,1137.27,892.68,1008.8,93.56,23.59
534,1107.9,700.15,1133.61,97.95,28.99
535,936.73,868.26,904.37,83.37,33.0
536,915.48,1066.38,1494.24,88.14,23.48
537,1114.6,863.69,1071.53,99.41,21.34
538,966.67,1061.12,1298.69,93.15,10.64
539,1173.91,708.97,1022.36,77.16,25.6
540,1269.65,821.35,1062.04,81.57,11.77
541,1228.42,939.11,924.18,99.9,34.54
542,725.42,844.74,1082.39,87.43,36.4
543,850.34,1072.08,939.18,82.65,15.37
544,929.46,796.56,1421.24,76.14,37.1
545,1255.55,746.37,1151.28,75.95,37.79
546,863.64,986.38,1478.28,95.31,19.83
547,604.1,988.48,974.91,87.51,35.75
548,1226.56,733.06,1317.28,95.45,30.99
549,1281.19,778.31,1158.99,85.12,19.06
550,1192.22,940.91,1383.1,94.39,38.93
551,825.56,926.8,980.25,76.49,21.5
552,769.05,948.02,962.2,98.61,18.12
553,1112.82,849.41,975.25,79.36,35.01
554,1041.27,959.91,1251.79,86.34,21.48
555,778.7,809.59,1210.67,88.52,34.7
556,1264.39,824.6,1053.0,82.77,24.25
557,1100.41,864.17,1299.08,82.41,38.77
558,640.25,969.63,1140.78,96.33,10.52
559,786.98,870.97,1175.96,84.42,17.18
560,1201.71,1079.16,1247.98,97.84,24.72
561,691.81,764.74,943.36,79.54,29.38
562,927.04,934.56,1349.78,85.98,11.01
563,849.74,816.94,1022.38,78.68,21.07
564,1005.71,730.15,1300.68,88.25,27.86
565,1241.79,740.1,1387.0,85.89,37.62
566,609.79,895.17,1261.04,85.08,12.14
567,1115.05,1022.88,1275.0,88.43,23.67
568,1207.95,1020.21,1402.06,94.92,23.88
569,1275.47,1052.19,1051.78,96.52,34.58
570,1176.34,828.1,1088.95,85.36,29.73
571,712.92,718.37,995.25,76.53,33.24
572,733.02,911.06,1356.3,96.06,12.77
573,1210.52,902.5,1498.12,97.24,11.11
574,637.17,803.5,1416.73,91.92,13.71
575,656.97,843.62,1023.79,92.95,21.79
576,1095.85,1088.73,989.76,83.64,37.78
577,841.16,1098.8,1163.93,91.11,17.85
578,1294.83,900.1,1321.71,93.72,28.16
579,1044.01,1073.24,1431.55,82.77,32.19
580,648.54,888.34,1069.89,80.15,39.74
581,951.53,1066.03,1220.69,87.75,11.93
582,1111.11,905.3,1278.46,79.05,16.97
583,1082.1,940.49,1196.18,77.98,31.2
584,1138.5,790.04,1160.86,99.31,22.18
585,1117.99,947.12,1378.67,93.52,20.06
586,702.05,946.74,952.95,81.39,28.95
587,988.33,751.41,1085.56,92.54,37.41
588,981.37,734.59,1394.32,79.55,31.78
589,688.53,1022.67,1466.72,82.25,10.97
590,1055.78,819.01,918.77,81.54,21.94
591,677.82,1059.18,1183.58,91.4,26.74
